name;automata-runtime;mata-runtime;mata-mataparsing;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;pymata-runtime;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness;java-automatalib-runtime;java-automatalib-construction;java-automatalib-compl;java-automatalib-emptiness_check;java-automatalib-emptiness_result;java-brics-runtime;java-brics-construction;java-brics-compl;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-2.mata;ERR;0.0; 0.000718728; 0.00277249; 3.576e-06; false;0.01; 0.000698109; 0.00153338; 0.00909238; 0.00348785; false;0.01; 0.000688501; 0.000101173; 0.00178152; 0.00106838; false;TO; 0.000660197;ERR;0.71; 0.0049; 0.0012; 0.0004; 0.0001;0.69; 0.0049; 0.0025; 0.0010; 0.0000;0.74; 0.071893925; 0.029323104; 0.00176366; false;0.65; 0.009827958; 0.011286664; 2.5976E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-3.mata;ERR;0.0; 0.00028571; 2.0531e-05; 2.157e-06; false;0.0; 6.9638e-05; 0.0001309; 0.000104785; 1.5938e-05; false;0.0; 6.7329e-05; 9.672e-06; 0.000406448; 0.000362002; false;TO; 7.0603e-05;ERR;0.97; 0.0064; 0.0001; 0.0000; 0.0000;0.98; 0.0065; 0.0003; 0.0001; 0.0000;0.87; 0.052732231; 0.014370112; 0.001603652; false;0.75; 0.004505041; 0.002098965; 2.0899E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06196-4.mata;ERR;0.0; 0.000713311; 0.002194; 3.369e-06; false;0.0; 0.000686909; 0.00129348; 0.00650268; 0.0023655; false;0.01; 0.000702338; 7.6201e-05; 0.0014465; 0.000884821; false;TO; 0.00071708;ERR;0.96; 0.0067; 0.0016; 0.0006; 0.0002;0.95; 0.0067; 0.0036; 0.0014; 0.0000;0.92; 0.073721741; 0.026906251; 0.001636026; false;0.77; 0.008740451; 0.00495492; 1.9902E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06250-1.mata;ERR;0.0; 0.000791726; 0.000197573; 2.596e-06; false;0.0; 0.000812705; 0.001223; 0.000893934; 0.000225645; false;0.01; 0.000787987; 6.8801e-05; 0.000775629; 0.000556189; false;TO; 0.00082449;ERR;0.71; 0.0049; 0.0003; 0.0001; 0.0000;0.71; 0.0053; 0.0008; 0.0002; 0.0000;0.73; 0.059967674; 0.014719699; 0.001512244; false;0.76; 0.008444815; 0.002571418; 1.5958E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06315-1.mata;ERR;0.0; 0.000878271; 0.00448647; 3.078e-06; false;0.02; 0.000897237; 0.00176907; 0.0133014; 0.0050058; false;0.01; 0.000853152; 0.000116433; 0.00226684; 0.00130857; false;TO; 0.000862643;ERR;0.99; 0.0070; 0.0035; 0.0013; 0.0004;0.97; 0.0071; 0.0063; 0.0029; 0.0000;1.02; 0.094051914; 0.040100211; 0.001844946; false;0.84; 0.016318036; 0.008004503; 2.1823E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06342-1.mata;ERR;0.0; 0.000787395; 0.000239292; 3.143e-06; false;0.0; 0.000812286; 0.00123686; 0.00157645; 0.000423182; false;0.01; 0.000799673; 7.2065e-05; 0.000946369; 0.000652016; false;TO; 0.000839586;ERR;0.95; 0.0067; 0.0006; 0.0001; 0.0000;0.99; 0.0069; 0.0014; 0.0004; 0.0000;0.94; 0.060317796; 0.018868934; 0.001662978; false;0.85; 0.008630728; 0.002841315; 1.8944E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-1.mata;ERR;0.02; 0.0130606; 0.0106549; 3.865e-06; false;0.06; 0.012387; 0.0220048; 0.0187504; 0.00557377; false;0.04; 0.0199401; 0.00162606; 0.00437838; 0.00182062; false;TO; 0.0126766;ERR;0.95; 0.0191; 0.0126; 0.0023; 0.0008;0.98; 0.0181; 0.0219; 0.0048; 0.0000;1.33; 0.166992257; 0.065236221; 0.001729769; false;0.97; 0.034657282; 0.010227331; 2.1395E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-10.mata;ERR;0.0; 0.000225338; 5.9725e-05; 3.218e-06; false;0.0; 0.000220366; 0.000373979; 0.00035045; 8.9485e-05; false;0.0; 0.000215158; 1.9689e-05; 0.00067196; 0.000553381; false;TO; 0.000247553;ERR;0.99; 0.0066; 0.0002; 0.0001; 0.0000;0.98; 0.0063; 0.0005; 0.0001; 0.0000;0.85; 0.04944453; 0.018203321; 0.0012828; false;0.62; 0.005217273; 0.001816522; 1.4177E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-11.mata;ERR;0.0; 0.000259496; 0.000125952; 1.841e-06; false;0.0; 0.000263754; 0.000509724; 0.000487449; 0.000138493; false;0.01; 0.000412859; 3.2047e-05; 0.000711845; 0.000589675; false;TO; 0.000277547;ERR;0.95; 0.0064; 0.0003; 0.0001; 0.0000;0.95; 0.0066; 0.0008; 0.0002; 0.0000;0.83; 0.055594185; 0.017814513; 0.001519092; false;0.75; 0.006374544; 0.001819845; 1.4591E-5; false
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-12.mata;ERR;0.0; 0.000426405; 0.000182877; 2.529e-06; false;0.0; 0.000415871; 0.000759885; 0.000748929; 0.000206336; false;0.01; 0.000414744; 3.2301e-05; 0.000776328; 0.000529005; false;TO; 0.000417458;ERR;0.96; 0.0065; 0.0003; 0.0001; 0.0000;0.95; 0.0064; 0.0007; 0.0002; 0.0000;0.85; 0.057477715; 0.019847818; 0.001641247; false;0.75; 0.006250028; 0.0019832; 2.0927E-5; false
