name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-emptiness_check;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-intersection;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction;java-brics-intersection;java-brics-emptiness_check;java-brics-emptiness_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;3.78; 0.334013; 0.029352; 3.5720;2.08; NOT EMPTY;4.98; 0.622359; 0.146875; 1.65809; 1.45065; false;1.25; 0.963287; 0.202807;0.1027704; 0.0175503; 0.0214307; false;4.62; 0.96434; 0.189034;0.00719265; 1.60566; 1.9778; false;TO; 1.01462; 0.209909;TO; 0.3756; 0.0000; 2.4335;TO;TO;TO;14.17;0.173470175; 6.184637959; 6.4902E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;5.4; 0.249715; 0.0501818; 5.3706;2.8; NOT EMPTY;6.24; 0.986381; 0.19061; 2.10158; 1.89309; false;1.14; 0.922352; 0.143242;0.0697828; 0.0118027; 0.013373; false;5.93; 1.09374; 0.209251;0.0080599; 1.89958; 2.71608; false;TO; 0.736672; 0.144784;TO; 0.4274; 0.0000; 2.9003;TO;TO;TO;15.27;0.113117517; 6.90048985; 5.3986E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;9.54; 0.365187; 0.0734945; 9.1725;5.13; NOT EMPTY;8.02; 1.18208; 0.236413; 3.17307; 2.16686; false;1.39; 1.06326; 0.209836;0.10561709999999999; 0.0186735; 0.0225641; false;7.03; 1.20923; 0.22935;0.00863378; 2.36691; 3.28073; false;TO; 1.12689; 0.246932;TO; 0.4685; 0.0000; 3.9800;TO;TO;TO;17.71;0.156479359; 7.498598942; 5.4589E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;13.92; 0.525248; 0.104123; 13.3140;7.14; NOT EMPTY;15.68; 1.24501; 0.311318; 7.28685; 3.88166; false;1.5; 1.17286; 0.245829;0.1172208; 0.0195289; 0.0246504; false;8.47; 1.32496; 0.238772;0.0098602; 2.98056; 3.82964; false;TO; 1.10528; 0.174322;TO; 0.5248; 0.0000; 4.9341;TO;TO;TO;20.38;0.083173077; 8.771048337; 4.1877E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;12.43; 0.466857; 0.0750097; 11.7832;6.81; NOT EMPTY;18.04; 1.29245; 0.352782; 7.36677; 5.94749; false;1.37; 0.967347; 0.202267;0.1470369; 0.0317383; 0.0394579; false;9.36; 1.31276; 0.212977;0.00882546; 3.33408; 4.58413; false;TO; 1.27853; 0.216135;TO; 0.3093; 0.0000; 4.9201;TO;TO;TO;24.36;0.203919896; 10.354997645; 3.5799E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;11.48; 0.549074; 0.117089; 10.7949;6.97; NOT EMPTY;18.8; 1.36267; 0.265319; 7.1173; 5.93923; false;1.55; 1.11108; 0.273467;0.1522589; 0.0244923; 0.0302917; false;11.16; 1.44551; 0.284762;0.011678000000000001; 3.69034; 5.69521; false;TO; 1.19557; 0.301225;TO; 0.3335; 0.0000; 6.1400;TO;TO;TO;28.13;0.229741894; 12.524414113; 4.6802E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;18.31; 0.636225; 0.127041; 18.4125;7.12; NOT EMPTY;17.4; 1.1127; 0.244304; 8.39237; 4.69391; false;2.07; 1.57743; 0.307989;0.1572792; 0.0264114; 0.0329269; false;9.91; 1.09579; 0.204718;0.00742891; 3.67854; 4.79912; false;TO; 1.56265; 0.317787;TO; 0.5511; 0.0000; 7.9733;TO;TO;TO;32.02;0.19427180500000002; 14.10431966; 9.5077E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;19.11; 0.51026; 0.0930279; 18.3769;9.11; NOT EMPTY;18.25; 1.17753; 0.240516; 7.74908; 6.13376; false;2.05; 1.77589; 0.222363;0.112735; 0.0218301; 0.0262469; false;14.04; 1.07189; 0.287615;0.0145647; 5.36367; 7.25106; false;TO; 1.17339; 0.281417;TO; 0.6269; 0.0000; 9.4422;TO;TO;TO;33.96;0.21780233300000001; 15.439108035; 2.955E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;24.04; 0.583807; 0.116315; 23.1468;8.41; NOT EMPTY;22.37; 1.30364; 0.288939; 8.4053; 7.2309; false;1.72; 1.33949; 0.239058;0.1181073; 0.0223236; 0.0257379; false;16.93; 1.76932; 0.364233;0.01464048; 6.15569; 8.24381; false;TO; 1.65505; 0.343317;TO; 0.7269; 0.0000; 9.6766;TO;TO;TO;42.97;0.241515492; 20.079932009; 9.5112E-5; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;23.17; 0.43841; 0.0862079; 22.8006;11.12; NOT EMPTY;24.69; 1.25536; 0.267556; 8.84154; 8.18108; false;2.18; 1.68125; 0.348868;0.15666629999999998; 0.0233068; 0.0263534; false;19.06; 1.79769; 0.388549;0.014460810000000001; 7.00247; 9.46074; false;TO; 1.3781; 0.262488;TO; 0.4192; 0.0000; 10.8868;TO;TO;TO;48.69;0.206058688; 20.890056267; 8.9211E-5; false
