name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;TO;0.23624450000000002;0.0108858;TO; 0.511895; 0.136527;TO; 0.520289; 0.127512; 0.485679;TO; 0.448269; 0.114295;TO; 0.288644; 0.084074;0.030355;TO; 0.455661; 0.117028;0.004812;ERR;TO;TO;TO;TO;TO;0.14309683
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;TO;0.0900223;0.009158;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.047108; 0.017152;TO; 0.042543; 0.01639;0.0026969999999999997;TO; 0.049311; 0.0153;0.000541;ERR;TO;TO;TO;TO;TO;0.052283232
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;TO;0.23730869999999998;0.0074797;ERR;ERR;ERR;TO; 0.464997; 0.113733; 0.530217;TO; 0.518645; 0.139204;TO; 0.503253; 0.102427;0.021077;TO; 0.516846; 0.141861;0.005228;ERR;TO;TO;TO;TO;TO;0.190883302
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;TO;0.0976476;0.0105425;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.070226; 0.02171;TO; 0.070948; 0.020542;0.0036880000000000003;TO; 0.075253; 0.022405;0.0007650000000000001;ERR;TO;TO;TO;TO;TO;0.09043451899999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;TO;0.0984332;0.030814;TO; 0.107506; 0.034866;ERR;ERR;ERR;ERR;TO; 0.08387; 0.025893;TO; 0.05818; 0.01779;0.00334;TO; 0.102144; 0.030055;0.001044;ERR;TO;TO;TO;TO;TO;0.08935169700000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;TO;0.1091694;0.010107399999999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.103539; 0.035429;TO; 0.128356; 0.038137;0.00716;TO; 0.132311; 0.036252;0.001268;ERR;TO;TO;TO;TO;TO;0.076535261
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;TO;0.1340501;0.0102133;ERR;ERR;ERR;TO; 0.085856; 0.026528; 0.021391;ERR;ERR;ERR;TO; 0.142488; 0.039073;0.0076820000000000005;TO; 0.154324; 0.04175;0.001526;ERR;TO;TO;TO;TO;TO;0.10607699200000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;TO;0.1613408;0.0097038;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.174493; 0.045164;TO; 0.16709; 0.042826;0.009686;TO; 0.179362; 0.048537;0.001825;ERR;TO;TO;TO;TO;TO;0.07139669900000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;TO;0.1607693;0.012427;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.193855; 0.052867;TO; 0.2118; 0.055727;0.013531999999999999;TO; 0.20427; 0.058923;0.002141;ERR;TO;TO;TO;TO;TO;0.077291242
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;TO;0.1651728;0.0136427;TO; 0.224147; 0.069713;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.236462; 0.061495;0.015808;TO; 0.184204; 0.048391;0.002196;ERR;TO;TO;TO;TO;TO;0.09246813000000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;TO;0.048740599999999995;0.0068703;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.026604; 0.015027;TO; 0.022078; 0.009446;0.001407;TO; 0.024537; 0.010072;0.000249;ERR;TO;TO;TO;TO;TO;0.031342123
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;TO;0.21023560000000002;0.0106768;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.253256; 0.0678;TO; 0.237131; 0.059978;0.015427;TO; 0.264822; 0.075483;0.002589;ERR;TO;TO;TO;TO;TO;0.11930143600000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;TO;0.1568898;0.009767099999999999;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.266577; 0.077699;TO; 0.286294; 0.08431;0.017939;TO; 0.255086; 0.061679;0.002447;ERR;TO;TO;TO;TO;TO;0.081840801
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;TO;0.1757793;0.0108413;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.307623; 0.073419;TO; 0.30909; 0.08005;0.024246;TO; 0.175896; 0.049868;0.001815;ERR;TO;TO;TO;TO;TO;0.096209261
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;TO;0.1731692;0.009639;ERR;ERR;ERR;ERR;ERR;ERR;ERR;TO; 0.312208; 0.073367;TO; 0.266978; 0.072595;0.018923;TO; 0.341956; 0.098095;0.003604;ERR;TO;TO;TO;TO;TO;0.113473096
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;TO;0.1851996;0.007717600000000001;ERR;ERR;ERR;TO; 0.359422; 0.092153; 0.222873;ERR;ERR;ERR;TO; 0.364353; 0.095556;0.024984;TO; 0.369783; 0.105197;0.0037670000000000004;ERR;TO;TO;TO;TO;TO;0.08566383899999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;TO;0.2111496;0.0116927;TO; 0.421456; 0.11557;ERR;ERR;ERR;ERR;TO; 0.332523; 0.086688;TO; 0.386863; 0.093184;0.025390000000000003;TO; 0.218956; 0.068215;0.002404;ERR;TO;TO;TO;TO;TO;0.09724882200000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;TO;0.2169629;0.0117955;ERR;ERR;ERR;TO; 0.435983; 0.109242; 0.297458;TO; 0.412251; 0.111691;TO; 0.367873; 0.101135;0.028802;TO; 0.404403; 0.103321;0.004331;ERR;TO;TO;TO;TO;TO;0.103850478
