name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1767.0.mata;0.07; 0.059315; 0.009814; 0.002707; 0.000195; 6.2e-05; false; 0.079005
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1770.0.mata;0.07; 0.060129; 0.009844; 0.002267; 0.000193; 6.9e-05; false; 0.07948
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1777.0.mata;0.05; 0.047029; 0.010394; 0.002672; 0.000187; 8.9e-05; false; 0.066676
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1778.0.mata;0.09; 0.080836; 0.012217; 0.002534; 0.000164; 0.000133; false; 0.104833
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1781.0.mata;0.1; 0.088504; 0.016036; 0.002849; 0.000223; 0.000101; false; 0.118098
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1784.0.mata;0.03; 0.031225; 0.005621; 0.001287; 0.000106; 3.7e-05; false; 0.042085
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1785.0.mata;0.1; 0.089481; 0.012606; 0.002714; 0.000172; 8.6e-05; false; 0.115072
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1786.0.mata;0.06; 0.04763; 0.008858; 0.001403; 0.000127; 7.5e-05; false; 0.063959
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1789.0.mata;0.1; 0.089996; 0.012815; 0.002698; 0.000183; 0.000103; false; 0.115593
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_179.0.mata;0.03; 0.028889; 0.004182; 0.001631; 0.000109; 6.6e-05; false; 0.037999
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1792.0.mata;0.11; 0.097652; 0.010161; 0.001389; 0.000131; 7.2e-05; false; 0.119377
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1795.0.mata;0.09; 0.096257; 0.00825; 0.001379; 0.000105; 5.3e-05; false; 0.11145
/home/experiments/nfa-bench/benchmarks/presburger-explicit/complement/UltimateAutomizer/nested9_true-unreach-call.i_1798.0.mata;0.13; 0.10505; 0.016756; 0.002809; 0.000211; 0.000103; false; 0.135302
