name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-9.mata;0.08; 8.6e-05;0.082362;0.000542;0.000353; 6.6e-05; false; 0.084751
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06591-1.mata;0.27; 0.000364;0.23089500000000002;0.013066999999999999;0.005542; 0.000772; false; 0.27813
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06591-2.mata;0.07; 7.5e-05;0.073003;0.00051;0.000314; 6e-05; false; 0.075229
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06591-3.mata;0.04; 4.8e-05;0.04622;0.000273;0.000187; 4.3e-05; false; 0.047502
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06591-4.mata;0.08; 9.1e-05;0.079162;0.00048300000000000003;0.00031099999999999997; 6e-05; false; 0.081412
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06591-5.mata;0.77; 0.002363;0.18638400000000002;0.127903;0.061307; 0.005063; false; 0.794533
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06600-1.mata;0.19; 0.000403;0.13463200000000003;0.018999;0.010661; 0.001682; false; 0.204813
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06600-2.mata;0.1; 9.3e-05;0.100687;0.000632;0.000383; 8.8e-05; false; 0.103345
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06600-3.mata;0.29; 0.000523;0.208287;0.024216;0.013354; 0.002514; false; 0.302424
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-1.mata;0.08; 0.000186;0.06994299999999999;0.0039889999999999995;0.0027300000000000002; 0.000636; false; 0.086284
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-2.mata;0.08; 0.000129;0.082378;0.000554;0.00035; 7e-05; false; 0.08506
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-3.mata;0.55; 0.002962;0.17447000000000001;0.106656;0.039578; 0.005377; false; 0.560335
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-4.mata;0.09; 0.000105;0.102866;0.000533;0.000341; 7.7e-05; false; 0.105314
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-5.mata;0.06; 0.000102;0.07697999999999999;0.000516;0.000322; 6.6e-05; false; 0.079258
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06657-6.mata;0.57; 0.001192;0.167389;0.11549899999999999;0.042184; 0.009015; false; 0.582851
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06712-1.mata;0.05; 0.000202;0.019663;0.009363;0.009734; 0.002693; false; 0.062874
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06895-1.mata;0.06; 0.000189;0.032261;0.007273;0.004908; 0.000997; false; 0.061792
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06895-2.mata;0.08; 0.000252;0.031321;0.011578999999999999;0.013562; 0.003765; false; 0.087348
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06895-3.mata;0.08; 0.000248;0.032526;0.012683;0.014133; 0.003737; false; 0.091784
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-1.mata;0.08; 8.4e-05;0.083109;0.00047;0.000322; 6.7e-05; false; 0.085386
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-2.mata;0.63; 0.003323;0.20053100000000001;0.10955000000000001;0.043372999999999995; 0.006127; false; 0.636653
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-3.mata;1.1; 0.004026;0.200827;0.23723;0.120029; 0.003929; false; 1.13101
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-4.mata;0.08; 9.9e-05;0.09013600000000001;0.000575;0.000336; 7e-05; false; 0.092638
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-5.mata;0.88; 0.003119;0.25072;0.18357;0.069288; 0.007277; false; 0.885574
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-6.mata;0.08; 0.000104;0.089894;0.000509;0.000348; 8.8e-05; false; 0.092307
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06968-7.mata;0.75; 0.003191;0.250016;0.16646899999999998;0.058642; 0.004386; false; 0.796512
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07046-1.mata;0.62; 0.002191;0.260758;0.09121599999999999;0.042943; 0.005107; false; 0.623956
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07046-2.mata;0.74; 0.001875;0.196011;0.122614;0.068165; 0.008888; false; 0.743628
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07103-1.mata;0.18; 0.000191;0.161189;0.005684;0.0025670000000000003; 0.000612; false; 0.182541
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07154-1.mata;0.13; 0.000313;0.081872;0.012883;0.008653999999999998; 0.001866; false; 0.140034
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07154-2.mata;0.07; 8.9e-05;0.08454400000000001;0.000513;0.000335; 7e-05; false; 0.086914
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07292-1.mata;0.12; 0.000416;0.029241;0.023473;0.024025; 0.005182; false; 0.134004
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07338-1.mata;0.04; 6e-05;0.054574;0.000368;0.000257; 6.5e-05; false; 0.05625
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07380-1.mata;1.92; 0.006044;0.42203900000000005;0.386376;0.14440999999999998; 0.02891; false; 1.95585
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07380-2.mata;0.07; 7.9e-05;0.076775;0.000482;0.000338; 7.3e-05; false; 0.078977
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07380-3.mata;1.28; 0.005732;0.34050199999999997;0.2185;0.099667; 0.013071; false; 1.24419
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07416-1.mata;0.35; 0.000308;0.315025;0.013090000000000001;0.005816; 0.000849; false; 0.363259
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07504-1.mata;2.14; 0.009224;0.48285;0.529319;0.162033; 0.008021; false; 2.1981
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07504-2.mata;0.08; 0.000121;0.085362;0.000552;0.000371; 0.000109; false; 0.087953
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07504-3.mata;1.46; 0.001767;1.2963950000000002;0.063865;0.01865; 0.000904; false; 1.50041
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07553-1.mata;0.08; 0.000114;0.094203;0.00058;0.000368; 7.6e-05; false; 0.096999
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07553-2.mata;0.49; 0.001683;0.145886;0.085615;0.0403; 0.005885; false; 0.489977
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07553-3.mata;0.42; 0.001404;0.23930500000000005;0.046487;0.033215; 0.003048; false; 0.436208
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07787-1.mata;0.27; 0.000994;0.09267399999999999;0.050408;0.025254; 0.001523; false; 0.282993
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07787-2.mata;0.09; 0.000236;0.019853;0.014121;0.018982; 0.005431; false; 0.098337
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07800-1.mata;0.1; 0.000301;0.02118;0.018011;0.019997; 0.004423; false; 0.104831
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07800-2.mata;0.13; 0.000262;0.06244500000000001;0.016381;0.009500000000000001; 0.001732; false; 0.13198
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07800-3.mata;0.08; 0.000327;0.021171;0.015631;0.020489; 0.004003; false; 0.093705
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07800-4.mata;3.28; 0.012183;0.880798;0.788783;0.20955000000000001; 0.023245; false; 3.43053
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07857-1.mata;0.27; 0.000985;0.097441;0.051065;0.026133999999999998; 0.004017; false; 0.2938
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07912-1.mata;0.08; 8e-05;0.086126;0.000515;0.000335; 7.5e-05; false; 0.088446
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07912-2.mata;0.06; 0.000178;0.019722;0.0076170000000000005;0.01082; 0.003227; false; 0.062532
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance07945-1.mata;0.21; 0.000184;0.215524;0.005024000000000001;0.0021200000000000004; 0.000225; false; 0.233564
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08022-1.mata;0.24; 0.000131;0.244667;0.0013930000000000001;0.000446; 0.000112; false; 0.249589
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08022-10.mata;1.04; 0.00014;1.058305;0.006376;0.002035; 0.000771; false; 1.07775
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08022-11.mata;1.14; 0.000208;1.164083;0.0057079999999999995;0.0017469999999999999; 0.000463; false; 1.18232
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08022-12.mata;0.06; 8.3e-05;0.070047;0.000486;0.000334; 6.8e-05; false; 0.07234
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance08022-13.mata;0.23; 8e-05;0.235342;0.001343;0.000407; 0.00011; false; 0.239925
