name;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;0.15; 0.133682; 0.030723; 0.002257; 0.000398; 5e-05; 2.3e-05; false; 0.169395
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1736.0.mata;0.26; 0.22932; 0.054315; 0.00356; 0.000758; 7.2e-05; 5.1e-05; false; 0.291635
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1737.0.mata;0.26; 0.238883; 0.049168; 0.003758; 0.000787; 9.5e-05; 4.3e-05; false; 0.29633
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1738.0.mata;0.19; 0.171983; 0.036693; 0.002411; 0.00039; 4.8e-05; 2.4e-05; false; 0.213833
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1739.0.mata;0.23; 0.222224; 0.030476; 0.002253; 0.000408; 4.9e-05; 2.3e-05; false; 0.257755
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1741.0.mata;0.26; 0.230452; 0.049904; 0.003791; 0.000751; 8.3e-05; 3.8e-05; false; 0.288429
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1748.0.mata;0.19; 0.168217; 0.039961; 0.003127; 0.000906; 7.7e-05; 5.9e-05; false; 0.216069
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1749.0.mata;0.26; 0.232099; 0.049931; 0.004009; 0.000769; 7.5e-05; 4e-05; false; 0.29067
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_175.0.mata;0.04; 0.040023; 0.012661; 0.000833; 0.000264; 3.4e-05; 1.4e-05; false; 0.054987
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1752.0.mata;0.11; 0.097668; 0.02576; 0.001807; 0.000437; 3.1e-05; 2.5e-05; false; 0.127777
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1755.0.mata;0.18; 0.167743; 0.039812; 0.003098; 0.000835; 5.3e-05; 4.5e-05; false; 0.214864
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1758.0.mata;0.14; 0.124862; 0.024791; 0.001834; 0.000442; 3.2e-05; 2.5e-05; false; 0.154004
