name;automata-old-runtime;automata-old-construction;automata-old-trim;automata-old-uni;automata-old-emptiness_check;automata-old-emptiness_result;automata-old-interpretation;automata-old-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-uni;automata-min-emptiness_check;automata-min-emptiness_result;automata-min-interpretation;automata-min-overall;java-automatalib-runtime;java-automatalib-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;0.37;0.3542276;0.0162058; 0.0151299000; 0.0004526000; False; 0.0352272000; 0.4559269000;1.83;0.0950519;0.0174081; 0.0351844000; 0.0004315000; False; 0.0566535000; 0.2220378000;TO;0.08433779599999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;0.36;0.2799856;0.0144308; 0.0151469000; 0.0003624000; False; 0.0329339000; 0.3597799000;1.6;0.12273919999999999;0.015499200000000001; 0.0140214000; 0.0003879000; False; 0.0328907000; 0.2041997000;TO;0.118655803
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;0.32;0.2929915;0.0153715; 0.0146797000; 0.0003987000; False; 0.0333285000; 0.3718304000;1.59;0.07206950000000001;0.0095871; 0.0169976000; 0.0003181000; False; 0.0291778000; 0.1433785000;TO;0.137309703
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.16;0.0979705;0.0104482; 0.0083129000; 0.0002200000; False; 0.0217710000; 0.1701620000;0.99;0.0519426;0.0097551; 0.0081849000; 0.0002745000; False; 0.0212061000; 0.1342805000;TO;0.089436913
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;0.28;0.2224082;0.0157808; 0.0157683000; 0.0003647000; False; 0.0348770000; 0.2863447000;1.59;0.0998384;0.030371000000000002; 0.0308959000; 0.0003684000; False; 0.0647750000; 0.2424684000;TO;0.124182086
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.17;0.1391767;0.0109137; 0.0089082000; 0.0002989000; False; 0.0231757000; 0.2482187000;1.22;0.0480299;0.011216799999999999; 0.0091396000; 0.0003449000; False; 0.0236624000; 0.1330652000;TO;0.097913538
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.12;0.070034;0.011124299999999998; 0.0114646000; 0.0004236000; False; 0.0261505000; 0.1257775000;1.17;0.0529724;0.012316; 0.0099205000; 0.0004727000; False; 0.0264094000; 0.1479109000;TO;0.054847349999999996
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.21;0.1677051;0.0107168; 0.0091643000; 0.0003668000; False; 0.0231345000; 0.2429467000;1.15;0.0499057;0.0114113; 0.0099362000; 0.0003714000; False; 0.0252030000; 0.1723719000;TO;0.071085945
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.2;0.1838469;0.0112452; 0.0121544000; 0.0004008000; False; 0.0270162000; 0.2717806000;1.12;0.0536776;0.022158900000000002; 0.0103151000; 0.0003912000; False; 0.0357153000; 0.1630011000;TO;0.105457798
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.24;0.1541586;0.0128053; 0.0563803000; 0.0003347000; False; 0.0729942000; 0.2792607000;1.28;0.0570169;0.0124351; 0.0108587000; 0.0003741000; False; 0.0267585000; 0.1479007000;TO;0.068094975
