name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.25; 0.205924; 0.064835;5.6e-05;3.2e-05; 9e-06; true; 0.279525;0.24; 0.206294; 0.061349;5.6e-05;3.1e-05; 7e-06; true; 0.275273;0.25; 0.203937; 0.063837;5.3e-05;3.1e-05; 0.000849; true; 0.276456
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.21; 0.185547; 0.046877;0.000124;5.9e-05; 5.2e-05; true; 0.236402;0.2; 0.187245; 0.046494;0.00013099999999999999;5.6000000000000006e-05; 5.1e-05; true; 0.237825;0.21; 0.185392; 0.046606;0.000115;5.8e-05; 0.000452; true; 0.236381
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.08; 0.067593; 0.023305;0.0010789999999999999;0.00045400000000000003; 0.000236; false; 0.097168;0.09; 0.065143; 0.023348;0.001033;0.000406; 0.009908; false; 0.104073;0.1; 0.077835; 0.021893;0.001061;0.000435; 0.007789; false; 0.11336
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.08; 0.069142; 0.019737;0.00019099999999999998;0.000111; 0.000351; false; 0.092458;0.07; 0.061457; 0.01923;0.00017;9.6e-05; 0.001786; false; 0.085444;0.07; 0.059658; 0.020723;0.000227;0.000103; 0.002804; false; 0.086446
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.07; 0.053998; 0.020932;0.00023;0.00011999999999999999; 8e-06; true; 0.078927;0.07; 0.051622; 0.021585;0.00025800000000000004;0.00013; 5e-06; true; 0.077176;0.08; 0.066655; 0.021055;0.000205;0.000129; 4.4e-05; true; 0.091446
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.08; 0.068002; 0.025413;0.00028000000000000003;0.000149; 7e-06; true; 0.098013;0.09; 0.074164; 0.02551;0.000239;0.000125; 7e-06; true; 0.104069;0.09; 0.074835; 0.024661;0.000248;0.000123; 0.000159; true; 0.103963
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.05; 0.039913; 0.021409;2.4e-05;1.3000000000000001e-05; 7e-06; true; 0.065569;0.05; 0.037464; 0.0206;2.1000000000000002e-05;2.1000000000000002e-05; 5e-06; true; 0.062068;0.05; 0.038803; 0.021205;2.1e-05;2.2000000000000003e-05; 0.000177; true; 0.064194
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.02; 0.018419; 0.011008;2.1000000000000002e-05;1.8e-05; 8e-06; true; 0.031431;0.02; 0.018446; 0.010352;2.1000000000000002e-05;1.6e-05; 7e-06; true; 0.03091;0.02; 0.019322; 0.010356;2.3e-05;3.7999999999999995e-05; 4.3e-05; true; 0.031817
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.03; 0.022924; 0.015458;2.4e-05;1.3000000000000001e-05; 6e-06; true; 0.040895;0.03; 0.024737; 0.014456;2.2000000000000003e-05;2.1000000000000002e-05; 6e-06; true; 0.041472;0.03; 0.023092; 0.014609;2.3e-05;1.1000000000000001e-05; 3.8e-05; true; 0.039985
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.07; 0.059129; 0.026814;0.00033099999999999997;0.000118; 8e-06; true; 0.091132;0.08; 0.056993; 0.027501;0.000298;9.9e-05; 7e-06; true; 0.089908;0.08; 0.060326; 0.026767;0.000345;0.00017999999999999998; 0.000323; true; 0.092874
