name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-32.mata;0.02; 0.000215;0.00909;0.002087; 0.000685; false; 0.026571;1.3; 0.000224;1.3122800000000001;0.005972;0.001503; 0.000335; false; 1.33121
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-33.mata;0.0; 7e-05;0.00029299999999999997;0.000326; 7.7e-05; false; 0.00138;0.04; 5.7e-05;0.045971;0.00026599999999999996;0.00019099999999999998; 4.3e-05; false; 0.047246
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-34.mata;0.0; 8.8e-05;0.0018;0.0005200000000000001; 0.000159; false; 0.005525;0.23; 8e-05;0.236758;0.001428;0.00044899999999999996; 0.000126; false; 0.241581
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-35.mata;0.01; 0.000134;0.004713;0.001229; 0.000277; false; 0.013662;0.64; 0.000117;0.644672;0.003815;0.0010760000000000001; 0.000287; false; 0.656587
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-36.mata;0.02; 0.000239;0.0091;0.002055; 0.000696; false; 0.026695;1.3; 0.000309;1.319564;0.0068059999999999996;0.0015599999999999998; 0.000426; false; 1.33917
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-37.mata;0.0; 8e-05;0.0005659999999999999;0.00058; 0.000123; false; 0.002528;0.07; 7.9e-05;0.080831;0.000581;0.00041700000000000005; 6.7e-05; false; 0.083382
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-38.mata;0.0; 0.000122;0.0033499999999999997;0.000882; 0.000248; false; 0.010457;0.5; 0.000132;0.51373;0.0031460000000000004;0.000876; 0.000228; false; 0.523603
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-39.mata;0.01; 0.00014;0.00473;0.001022; 0.000302; false; 0.013445;0.61; 0.000119;0.618009;0.0039109999999999995;0.001106; 0.000319; false; 0.630004
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-4.mata;0.02; 0.000216;0.008937;0.001754; 0.00057; false; 0.025611;1.62; 0.00021;1.624436;0.008653000000000001;0.0018980000000000002; 0.000587; false; 1.64912
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-40.mata;0.01; 0.000124;0.004861000000000001;0.001183; 0.000395; false; 0.014179;0.78; 0.000143;0.783221;0.006177;0.0015400000000000001; 0.000693; false; 0.800662
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-41.mata;0.0; 8.2e-05;0.000608;0.000558; 0.000132; false; 0.002633;0.06; 7.2e-05;0.072207;0.0005;0.000337; 7.7e-05; false; 0.074565
