name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.57; 0.201395; 0.060707; 0.23858; 0.123298; 0.000122; false; 0.633755;0.53; 0.20261; 0.055265; 0.139406; 0.107372; 0.054019; 0.000113; false; 0.566864
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.45; 0.126095; 0.036831; 0.216103; 0.116689; 0.000228; false; 0.503514;0.42; 0.165792; 0.040706; 0.11196; 0.072417; 0.0548; 9e-05; false; 0.451036
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.03; 0.024432; 0.010453; 0.00253; 0.001564; 1.5e-05; false; 0.041616;0.03; 0.025325; 0.011799; 0.001813; 0.001315; 0.000546; 1.1e-05; false; 0.043594
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.8; 0.263668; 0.078967; 0.363239; 0.177944; 0.000282; false; 0.896962;0.75; 0.238185; 0.082297; 0.226935; 0.174666; 0.084377; 6.8e-05; false; 0.816721
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;1.03; 0.285269; 0.077815; 0.555034; 0.224258; 0.000245; false; 1.15577;0.58; 0.160979; 0.054998; 0.201622; 0.120721; 0.073785; 8.9e-05; false; 0.620646
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.73; 0.180231; 0.055093; 0.411566; 0.181285; 0.000398; false; 0.840331;0.87; 0.189923; 0.055855; 0.337472; 0.233167; 0.105331; 8.2e-05; false; 0.933707
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.93; 0.350237; 0.064949; 0.444405; 0.182144; 0.000167; false; 1.05526;1.03; 0.207776; 0.082159; 0.379545; 0.300693; 0.127773; 8.5e-05; false; 1.10803
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;1.19; 0.363993; 0.090337; 0.632347; 0.227994; 0.000538; false; 1.33709;1.14; 0.213875; 0.059751; 0.406314; 0.356937; 0.178036; 0.000293; false; 1.22754
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;1.45; 0.371305; 0.092167; 0.89985; 0.257658; 0.000241; false; 1.63952;1.56; 0.382259; 0.095964; 0.551978; 0.408103; 0.237504; 0.000244; false; 1.69348
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;1.95; 0.239166; 0.086306; 1.37569; 0.46724; 0.000777; false; 2.19288;1.23; 0.365963; 0.068409; 0.458717; 0.270201; 0.153222; 0.000193; false; 1.33058
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;1.69; 0.409643; 0.114399; 0.976857; 0.383296; 0.000335; false; 1.90761;1.63; 0.438022; 0.107175; 0.634703; 0.341954; 0.214537; 0.000191; false; 1.75584
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-900-rhs.mata;2.47; 0.26079; 0.079523; 1.85626; 0.549831; 0.000556; false; 2.77249;2.18; 0.428044; 0.11458; 0.929048; 0.57658; 0.264522; 0.000161; false; 2.3353
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-950-rhs.mata;2.85; 0.484752; 0.146944; 2.05701; 0.455904; 0.000387; false; 3.19405;1.58; 0.338836; 0.084738; 0.682991; 0.380292; 0.204962; 0.000269; false; 1.70782
