name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.03; 0.02154; 0.013046; 2.5e-05; false; 0.037175;0.04; 0.021315; 0.012849; 0.01427; 2.6e-05; false; 0.051086
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.08; 0.057526; 0.034707; 0.00011; false; 0.099236;0.15; 0.074372; 0.030922; 0.047943; 0.000138; false; 0.15956
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.1; 0.07049; 0.033021; 0.000133; false; 0.110881;0.14; 0.06917; 0.030121; 0.048609; 0.00015; false; 0.154865
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.11; 0.079276; 0.037454; 0.000132; false; 0.124523;0.11; 0.072986; 0.01978; 0.029566; 9.6e-05; false; 0.126481
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.08; 0.069847; 0.022408; 9.4e-05; false; 0.096303;0.09; 0.044936; 0.020638; 0.033114; 9.2e-05; false; 0.102778
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.1; 0.079018; 0.03508; 0.000114; false; 0.121056;0.15; 0.070741; 0.035681; 0.053926; 0.000158; false; 0.168024
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.03; 0.027919; 0.013287; 5.1e-05; false; 0.043822;0.02; 0.015087; 0.008334; 0.007489; 5.6e-05; false; 0.032532
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.1; 0.078049; 0.032245; 9.5e-05; false; 0.11645;0.1; 0.046; 0.020587; 0.040137; 0.000145; false; 0.111036
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;0.01; 0.011864; 0.008047; 1.8e-05; false; 0.021388;0.04; 0.022692; 0.013496; 0.015069; 3e-05; false; 0.053744
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.01; 0.012944; 0.007971; 1.9e-05; false; 0.02245;0.02; 0.012188; 0.007664; 0.006888; 1.8e-05; false; 0.028376
