name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07461.mata;0.02; 0.022962; 0.001912; 0.000101; 5.6e-05; false; 0.029017;0.06; 0.022921; 0.039865; 0.00202; 0.0001; 0.000111; false; 0.068885
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07468.mata;0.01; 0.00576; 0.004074; 0.000486; 0.000229; false; 0.013409;0.01; 0.005006; 0.004679; 0.003203; 0.000358; 0.000244; false; 0.015588
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07473.mata;0.0; 0.002059; 0.00025; 2.1e-05; 1.7e-05; false; 0.002895;0.0; 0.002001; 0.001597; 0.000271; 2.1e-05; 1.9e-05; false; 0.004495
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07591.mata;0.01; 0.009937; 0.001155; 8.4e-05; 2.8e-05; false; 0.0131;0.03; 0.009836; 0.018411; 0.001207; 9.1e-05; 7.8e-05; false; 0.031488
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07609.mata;0.27; 0.213837; 0.037742; 0.003946; 0.000391; false; 0.289737;0.56; 0.21306; 0.293148; 0.038549; 0.002274; 0.000321; false; 0.57655
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07622.mata;0.03; 0.030913; 0.002304; 0.000135; 5.5e-05; false; 0.037575;0.06; 0.030521; 0.02449; 0.002469; 0.000132; 0.000122; false; 0.061909
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07668.mata;0.02; 0.01443; 0.003811; 0.000309; 0.000237; false; 0.022424;0.03; 0.014651; 0.008978; 0.003891; 0.000337; 0.000243; false; 0.031399
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07669.mata;0.41; 0.090454; 0.287763; 0.008542; 0.000478; false; 0.424041;0.5; 0.081058; 0.108695; 0.26877; 0.010953; 0.000546; false; 0.509804
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07674.mata;0.13; 0.037386; 0.082927; 0.002586; 0.000211; false; 0.137483;0.19; 0.040599; 0.050925; 0.091075; 0.003912; 0.00025; false; 0.201966
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07677.mata;0.01; 0.010556; 0.001178; 0.000114; 3.1e-05; false; 0.01387;0.03; 0.010137; 0.024693; 0.001205; 0.000119; 7.7e-05; false; 0.038353
