name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.05; 0.03465; 0.018224;4.2e-05;2e-05; 9e-06; true; 0.056562;0.05; 0.035185; 0.017864;0.0030759999999999997;2.4e-05;2e-05; 8e-06; true; 0.059643
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.06; 0.043444; 0.023857;4.4999999999999996e-05;1.8e-05; 8e-06; true; 0.071253;0.06; 0.042011; 0.027163;0.0050799999999999994;2.8000000000000003e-05;2.4e-05; 1.1e-05; true; 0.078965
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.09; 0.063702; 0.031532;0.00043;0.00013299999999999998; 8e-06; true; 0.101317;0.1; 0.064368; 0.031298;0.015076;0.000133;4.0999999999999994e-05; 7e-06; true; 0.115925
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata;0.05; 0.036976; 0.019903;0.00071;0.000177; 8e-06; true; 0.062363;0.06; 0.036495; 0.021308;0.007317;0.000202;3.899999999999999e-05; 7e-06; true; 0.06943
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.1; 0.074019; 0.034335;0.001114;0.000247; 9e-06; true; 0.117923;0.11; 0.071949; 0.035824;0.010412;0.00030900000000000003;6.5e-05; 1e-05; true; 0.126215
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata;0.07; 0.052734; 0.026086;0.0010509999999999999;0.00021299999999999997; 9e-06; true; 0.085869;0.04; 0.02977; 0.01657;0.004772000000000001;0.00014199999999999998;3.4e-05; 5e-06; true; 0.054054
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut23.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.13; 0.098078; 0.048213;0.000804;0.000158; 7e-06; true; 0.156485;0.09; 0.057331; 0.030083;0.016515;0.000128;2.9e-05; 8e-06; true; 0.109524
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut31.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.07; 0.055164; 0.028994;0.000472;0.000114; 8e-06; true; 0.090263;0.16; 0.093608; 0.046824;0.027745000000000002;0.000356;9.2e-05; 1.1e-05; true; 0.178019
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut28.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut46.mata;0.05; 0.036859; 0.016323;0.001253;0.00047599999999999997; 4.7e-05; false; 0.059317;0.05; 0.037042; 0.016116;0.004834;0.000315;0.000106; 3.1e-05; false; 0.061986
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut12.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut72.mata;0.06; 0.048801; 0.023286;0.0008030000000000001;0.00033700000000000006; 1e-05; true; 0.077617;0.13; 0.081915; 0.035575;0.021301;0.000509;0.000152; 6e-06; true; 0.146342
