name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;0.27; 0.234922; 0.065637; 0.000491; 0.000512; 8.8e-05; false; 0.311267;0.82; 0.414418; 0.118415; 0.317768; 0.000666; 0.000616; 0.000153; false; 0.868528
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;0.49; 0.435278; 0.089619; 0.000533; 0.000623; 0.000107; false; 0.537614;0.81; 0.432296; 0.071554; 0.333829; 0.0012; 0.000699; 0.000164; false; 0.850626
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;0.33; 0.260192; 0.094562; 0.000597; 0.000769; 0.000129; false; 0.368564;0.71; 0.26152; 0.093105; 0.370588; 0.000686; 0.000438; 9.6e-05; false; 0.747025
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;0.58; 0.495167; 0.110723; 0.001121; 0.000962; 0.000156; false; 0.625828;0.99; 0.487206; 0.127446; 0.396385; 0.000712; 0.000459; 0.000134; false; 1.03834
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.03; 0.028495; 0.009666; 6.3e-05; 4.6e-05; 2e-05; false; 0.039771;0.03; 0.026805; 0.009128; 0.001823; 0.000137; 5.9e-05; 1.8e-05; false; 0.039457
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;0.55; 0.42629; 0.137227; 0.001235; 0.001718; 0.000248; false; 0.593848;0.9; 0.371181; 0.093784; 0.459913; 0.000735; 0.000448; 0.000103; false; 0.942911
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.08; 0.077813; 0.021002; 0.000159; 0.000104; 4.2e-05; false; 0.102052;0.05; 0.042264; 0.014437; 0.004724; 0.000132; 5.1e-05; 2.6e-05; false; 0.063584
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.12; 0.104156; 0.031232; 0.000273; 0.000191; 5.8e-05; false; 0.140352;0.07; 0.059217; 0.019181; 0.009506; 0.000171; 7.5e-05; 3.2e-05; false; 0.090595
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.15; 0.124749; 0.032392; 0.000277; 0.000189; 6.5e-05; false; 0.162419;0.1; 0.074245; 0.024282; 0.014575; 0.000185; 8.6e-05; 4.4e-05; false; 0.116314
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.16; 0.141125; 0.036743; 0.000176; 0.000207; 5.9e-05; false; 0.182027;0.2; 0.156671; 0.038825; 0.021328; 0.000217; 0.000104; 4.9e-05; false; 0.221446
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.13; 0.10656; 0.043889; 0.000412; 0.000287; 0.000101; false; 0.157541;0.25; 0.175167; 0.045493; 0.048247; 0.000456; 0.000212; 7.7e-05; false; 0.27638
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.27; 0.223557; 0.067356; 0.000254; 0.000427; 8.4e-05; false; 0.297706;0.3; 0.2012; 0.053517; 0.063693; 0.000613; 0.000345; 0.000113; false; 0.326902
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.15; 0.128067; 0.036507; 0.000263; 0.000225; 8.7e-05; false; 0.170164;0.34; 0.218625; 0.058355; 0.082169; 0.000618; 0.000302; 0.000114; false; 0.368269
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.03; 0.025901; 0.011035; 6.8e-05; 4.6e-05; 1.8e-05; false; 0.039291;0.02; 0.022776; 0.009842; 0.000869; 7.5e-05; 3.1e-05; 1.5e-05; false; 0.03569
