name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.09; 0.081155; 0.010606; 0.000715; 0.000302; false; 0.102814;0.1; 0.084003; 0.013292; 0.002619; 0.000186; 8.3e-05; false; 0.109337
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.13; 0.114035; 0.011835; 0.000825; 0.000318; false; 0.139944;0.13; 0.115842; 0.018069; 0.002696; 0.000184; 0.000139; false; 0.149473
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.13; 0.116293; 0.014147; 0.001249; 0.000489; false; 0.146368;0.13; 0.109692; 0.019267; 0.002448; 0.000153; 0.000105; false; 0.145854
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.02; 0.019385; 0.003055; 0.000181; 9.3e-05; false; 0.025501;0.02; 0.018678; 0.003648; 0.001196; 8.3e-05; 5.1e-05; false; 0.026207
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.11; 0.096924; 0.010303; 0.000602; 0.000287; false; 0.119773;0.14; 0.123139; 0.014013; 0.002629; 0.000184; 0.000124; false; 0.151229
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.13; 0.114537; 0.013149; 0.001019; 0.000416; false; 0.143391;0.13; 0.115594; 0.015049; 0.001415; 9.7e-05; 6.6e-05; false; 0.144033
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.09; 0.080887; 0.009423; 0.000593; 0.000273; false; 0.100959;0.09; 0.077403; 0.012695; 0.002492; 0.000187; 7.8e-05; false; 0.103178
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.09; 0.083987; 0.009441; 0.000586; 0.000253; false; 0.10395;0.05; 0.041887; 0.007461; 0.00134; 0.000115; 5.6e-05; false; 0.056045
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.04; 0.043472; 0.004745; 0.000322; 0.00015; false; 0.05415;0.09; 0.077917; 0.012752; 0.002603; 0.000196; 9.7e-05; false; 0.103743
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.06; 0.058583; 0.004913; 0.00046; 0.000198; false; 0.069778;0.11; 0.094603; 0.013239; 0.002663; 0.000192; 9.3e-05; false; 0.120087
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.05; 0.043068; 0.004836; 0.000453; 0.000195; false; 0.054097;0.1; 0.08529; 0.01181; 0.002645; 0.000177; 8e-05; false; 0.108898
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;0.05; 0.043909; 0.005267; 0.000462; 0.000143; false; 0.055702;0.09; 0.077789; 0.012734; 0.002459; 0.000172; 7.3e-05; false; 0.103394
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;0.01; 0.013826; 0.001869; 0.000149; 5.6e-05; false; 0.01773;0.03; 0.025719; 0.004698; 0.001763; 0.00014; 6.9e-05; false; 0.035666
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1732.0.mata;0.06; 0.050367; 0.009638; 0.000634; 0.000268; false; 0.070781;0.1; 0.080081; 0.019418; 0.003055; 0.000415; 0.000153; false; 0.114441
