name;mata-0.111-runtime;mata-0.111-mataparsing;mata-0.111-mataminterm;mata-0.111-intersection;mata-0.111-trim;mata-0.111-inclusion_check;mata-0.111-inclusion_check_result;mata-0.111-overall;mata-0.112-runtime;mata-0.112-mataparsing;mata-0.112-mataminterm;mata-0.112-intersection;mata-0.112-trim;mata-0.112-inclusion_check;mata-0.112-inclusion_check_result;mata-0.112-overall;mata-0.113-runtime;mata-0.113-mataparsing;mata-0.113-mataminterm;mata-0.113-intersection;mata-0.113-trim;mata-0.113-inclusion_check;mata-0.113-inclusion_check_result;mata-0.113-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.25; 0.20866; 0.059493;7.2e-05;2.2000000000000003e-05; 8e-06; true; 0.275671;0.23; 0.197957; 0.059064;6.099999999999999e-05;2.4000000000000004e-05; 7e-06; true; 0.264335;0.25; 0.208169; 0.059354;5.4e-05;2.4000000000000004e-05; 0.000874; true; 0.275945
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.2; 0.18097; 0.042561;0.000106;3.9999999999999996e-05; 5.3e-05; true; 0.227248;0.21; 0.191212; 0.042918;0.000114;4.2e-05; 5e-05; true; 0.237801;0.19; 0.180664; 0.04188;0.000107;4.1e-05; 0.000377; true; 0.226495
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.08; 0.065551; 0.021203;0.000999;0.00033800000000000003; 0.000189; false; 0.092284;0.09; 0.065984; 0.021278;0.001001;0.00035; 0.009913; false; 0.102537;0.08; 0.061137; 0.020764;0.000998;0.000315; 0.007493; false; 0.094736
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.08; 0.067502; 0.018399;0.000172;7.000000000000001e-05; 0.000325; false; 0.089019;0.07; 0.061888; 0.017493;0.000172;7.300000000000001e-05; 0.001722; false; 0.083933;0.07; 0.059364; 0.018823;0.000171;7.9e-05; 0.002553; false; 0.083656
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.06; 0.049747; 0.018667;0.000216;9.499999999999999e-05; 7e-06; true; 0.071884;0.06; 0.056381; 0.020508;0.000233;0.000123; 8e-06; true; 0.080639;0.06; 0.04986; 0.018686;0.000205;9.599999999999999e-05; 4e-05; true; 0.072111
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.07; 0.052024; 0.021963;0.000225;0.00013099999999999999; 7e-06; true; 0.078056;0.07; 0.057867; 0.02236;0.000222;0.000102; 6e-06; true; 0.084294;0.07; 0.052503; 0.0232;0.000233;0.00014199999999999998; 0.000149; true; 0.080091
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.05; 0.037669; 0.021937;2.3e-05;1.1000000000000001e-05; 6e-06; true; 0.063592;0.05; 0.035254; 0.018619;2e-05;1.2000000000000002e-05; 7e-06; true; 0.057637;0.04; 0.036066; 0.018592;2e-05;1.1000000000000001e-05; 0.000183; true; 0.058632
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.02; 0.01904; 0.010375;2.5e-05;2.1000000000000002e-05; 8e-06; true; 0.031565;0.02; 0.02014; 0.009977;2.1000000000000002e-05;1.8e-05; 6e-06; true; 0.031959;0.02; 0.017221; 0.009295;2.1000000000000002e-05;1.7e-05; 4e-05; true; 0.028333
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.03; 0.021326; 0.013345;2.3e-05;9e-06; 7e-06; true; 0.036712;0.03; 0.025186; 0.015215;2.7000000000000002e-05;2e-05; 7e-06; true; 0.042703;0.04; 0.025323; 0.020069;3.1e-05;1.5e-05; 5.3e-05; true; 0.048377
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.09; 0.082856; 0.025859;0.000298;9.599999999999999e-05; 8e-06; true; 0.113798;0.07; 0.055966; 0.024852;0.000303;9.4e-05; 7e-06; true; 0.085898;0.08; 0.064564; 0.025693;0.00029800000000000003;9.599999999999999e-05; 0.000294; true; 0.095675
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata;0.02; 0.019105; 0.010937;0.000256;0.000103; 7e-06; true; 0.032725;0.03; 0.023987; 0.011936;0.000259;8.099999999999999e-05; 6e-06; true; 0.038632;0.03; 0.019719; 0.01718;0.00038600000000000006;0.000122; 2.8e-05; true; 0.040802
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.06; 0.056904; 0.022464;0.00047400000000000003;0.00014900000000000002; 8e-06; true; 0.084659;0.06; 0.041353; 0.021434;0.000459;0.000193; 7e-06; true; 0.068079;0.05; 0.036235; 0.019961;0.00045300000000000006;0.000142; 0.000106; true; 0.061559
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut19.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut39.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut47.mata;0.04; 0.027973; 0.015123;0.00045599999999999997;0.000143; 8e-06; true; 0.046839;0.05; 0.035239; 0.020474;0.000492;0.000166; 7e-06; true; 0.060037;0.04; 0.036119; 0.020161;0.0005059999999999999;0.000156; 3.2e-05; true; 0.06061
