name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;0.47; 0.148567; 0.042498; 0.213093; 0.112176; 0.000107; false; 0.523934;0.47; 0.143989; 0.047338; 0.227703; 0.113553; 0.000105; false; 0.541022;0.79; 0.243329; 0.063918; 0.000432; 0.361132; 0.187146; 0.000241; false; 0.868973;4.14; 0.3707; 0.0000; 2.2294; 0.7191; 0.0027; False; 2.9514; 3.3247
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;0.56; 0.161922; 0.047948; 0.285443; 0.141711; 8e-05; false; 0.644335;0.93; 0.286981; 0.069269; 0.460994; 0.227777; 0.000123; false; 1.05643;0.58; 0.159052; 0.049726; 0.000283; 0.307768; 0.133287; 7.9e-05; false; 0.658908;5.24; 0.2594; 0.0000; 3.1949; 1.0368; 0.0064; False; 4.2382; 4.5012
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;1.03; 0.273973; 0.082761; 0.556419; 0.255828; 0.000199; false; 1.18484;1.03; 0.29569; 0.093985; 0.530948; 0.232221; 0.000185; false; 1.16867;1.12; 0.318124; 0.085276; 0.00061; 0.586004; 0.280306; 0.00022; false; 1.28598;6.56; 0.4637; 0.0000; 4.2489; 1.2852; 0.0036; False; 5.5377; 6.0137
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;1.24; 0.332879; 0.088318; 0.658889; 0.335271; 0.000145; false; 1.43148;1.26; 0.333504; 0.087165; 0.68752; 0.306817; 0.000145; false; 1.43063;0.86; 0.195475; 0.059495; 0.000303; 0.481656; 0.239663; 9.2e-05; false; 0.986141;7.07; 0.4190; 0.0000; 4.4439; 1.6293; 0.0102; False; 6.0835; 6.5072
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;1.46; 0.358935; 0.095332; 0.827406; 0.355637; 0.000172; false; 1.65494;0.93; 0.204101; 0.057969; 0.463162; 0.310413; 0.000163; false; 1.04773;1.32; 0.328329; 0.100236; 0.000735; 0.750983; 0.328458; 0.000133; false; 1.5282;7.93; 0.3590; 0.0000; 5.1605; 1.7746; 0.0068; False; 6.9420; 7.3048
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;1.77; 0.387101; 0.103202; 1.05188; 0.453112; 0.000188; false; 2.01401;1.64; 0.373141; 0.096922; 0.939344; 0.421063; 0.00017; false; 1.84805;1.58; 0.335876; 0.088325; 0.000664; 0.940087; 0.438588; 0.00018; false; 1.82175;9.34; 0.5536; 0.0000; 6.3547; 2.0424; 0.0174; False; 8.4146; 8.9743
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;1.67; 0.401748; 0.095442; 0.957504; 0.434979; 0.000183; false; 1.91042;1.77; 0.420806; 0.103638; 1.04334; 0.432345; 0.000164; false; 2.01841;1.54; 0.23909; 0.076684; 0.000543; 0.972136; 0.464259; 0.000175; false; 1.77068;10.56; 0.3963; 0.0000; 7.6524; 2.2051; 0.0197; False; 9.8773; 10.2805
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;1.27; 0.304227; 0.07433; 0.736846; 0.338391; 0.000289; false; 1.47147;2.09; 0.432818; 0.111767; 1.3002; 0.52592; 0.000196; false; 2.394;2.1; 0.390476; 0.116938; 0.000703; 1.16104; 0.661472; 0.000203; false; 2.35054;11.7; 0.3716; 0.0000; 8.8902; 2.4600; 0.0206; False; 11.3710; 11.7504
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;2.35; 0.455329; 0.118669; 1.45881; 0.63128; 0.000409; false; 2.69027;2.31; 0.455554; 0.126433; 1.52934; 0.480054; 0.00047; false; 2.61556;1.34; 0.266187; 0.080674; 0.000451; 0.788658; 0.392824; 0.000144; false; 1.54412;13.64; 0.6019; 0.0000; 9.9434; 3.0766; 0.0203; False; 13.0404; 13.6498
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;2.46; 0.494309; 0.144386; 1.59423; 0.595497; 0.000509; false; 2.86125;1.52; 0.281074; 0.084554; 0.930149; 0.398125; 0.000282; false; 1.71785;2.46; 0.505325; 0.127986; 0.000983; 1.52048; 0.637048; 0.000281; false; 2.82012;15.5; 0.6217; 0.0000; 11.8010; 3.1650; 0.0020; False; 14.9682; 15.5973
