name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-inclusion;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.08; 0.064637; 0.029575; 6.7e-05; false; 0.100889;0.07; 0.060188; 0.018924; 8.1e-05; false; 0.083382;0.14; 0.069736; 0.028174; 0.043889; 0.000119; false; 0.147804;1.2; 0.1345; 0.0000; 0.0006; False; 0.0006; 0.1356
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.09; 0.06669; 0.027417; 7.1e-05; false; 0.100499;0.09; 0.06367; 0.027904; 9.7e-05; false; 0.097155;0.13; 0.061439; 0.028123; 0.050496; 0.000121; false; 0.145784;1.12; 0.1171; 0.0000; 0.0005; False; 0.0005; 0.1181
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.02; 0.022573; 0.01236; 3.4e-05; false; 0.037494;0.02; 0.021801; 0.012139; 3.2e-05; false; 0.036435;0.04; 0.021978; 0.012063; 0.014234; 3.4e-05; false; 0.050817;1.17; 0.0441; 0.0000; 0.0002; False; 0.0002; 0.0446
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.1; 0.072156; 0.034789; 6.8e-05; false; 0.113459;0.09; 0.071312; 0.033074; 0.000124; false; 0.111816;0.1; 0.064443; 0.02088; 0.028723; 8.6e-05; false; 0.118439;1.36; 0.1496; 0.0000; 0.0008; False; 0.0008; 0.1509
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;0.07; 0.057995; 0.018317; 4.1e-05; false; 0.079665;0.1; 0.071449; 0.033706; 0.000114; false; 0.112019;0.08; 0.039749; 0.017777; 0.027316; 8.1e-05; false; 0.088464;1.31; 0.1276; 0.0000; 0.0005; False; 0.0005; 0.1286
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;0.07; 0.06152; 0.019946; 4.2e-05; false; 0.085032;0.05; 0.042364; 0.019042; 7.6e-05; false; 0.06512;0.1; 0.044668; 0.020811; 0.038519; 0.000143; false; 0.108828;1.22; 0.1347; 0.0000; 0.0006; False; 0.0006; 0.1357
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;0.08; 0.077828; 0.021133; 4.8e-05; false; 0.103356;0.06; 0.043619; 0.021332; 8.3e-05; false; 0.069226;0.09; 0.0443; 0.021363; 0.02933; 8.1e-05; false; 0.098851;1.03; 0.0818; 0.0000; 0.0003; False; 0.0004; 0.0824
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;0.08; 0.066197; 0.020075; 4.2e-05; false; 0.09001;0.1; 0.078622; 0.03229; 0.000106; false; 0.117658;0.09; 0.043701; 0.02134; 0.032728; 0.000105; false; 0.102105;1.31; 0.1411; 0.0000; 0.0006; False; 0.0006; 0.1421
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;0.01; 0.014567; 0.008217; 6.3e-05; false; 0.024342;0.03; 0.028793; 0.014636; 5e-05; false; 0.046186;0.02; 0.014543; 0.008161; 0.008151; 0.000129; false; 0.032601;0.98; 0.0304; 0.0000; 0.0003; False; 0.0003; 0.0310
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;0.1; 0.077405; 0.036121; 7.5e-05; false; 0.121403;0.11; 0.078028; 0.035292; 0.000166; false; 0.121058;0.16; 0.082212; 0.035922; 0.052217; 0.000125; false; 0.176878;1.31; 0.1355; 0.0000; 0.0004; False; 0.0005; 0.1364
