name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-uni;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-union;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-3-*.mata;0.0; 0.001708; 0.005799;0.000107;5.8e-05; 3.5e-05; false; 0.009284;0.0; 0.001448; 0.006159;0.000117;6.3e-05; 3.5e-05; false; 0.009495;0.0; 0.001496; 0.005863;0.000104;5.5e-05; 3.5e-05; false; 0.009216;1.22; 0.0169; 0.0000; 0.0013; 0.0003; 0.0001; False; 0.0017; 0.0191
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-30-*.mata;1.03; 0.203303; 0.507623;0.031146;0.11075799999999998; 0.009058; false; 1.06911;1.07; 0.200792; 0.495665;0.044534000000000004;0.128639; 0.008251; false; 1.1295;0.8; 0.113421; 0.278814;0.050973;0.15312599999999998; 0.00647; false; 0.835558;2.78; 0.7667; 0.0000; 0.7895; 0.0113; 0.0032; False; 0.8041; 1.5932
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-31-*.mata;1.12; 0.235682; 0.500646;0.05180799999999999;0.165502; 0.008835; false; 1.17038;0.99; 0.218151; 0.519827;0.027335;0.112953; 0.00881; false; 1.03386;1.22; 0.221479; 0.533241;0.05331000000000001;0.16666499999999995; 0.009562; false; 1.26725;2.57; 0.8598; 0.0000; 0.7933; 0.0092; 0.0030; False; 0.8056; 1.6831
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-32-*.mata;1.14; 0.255398; 0.416189;0.05934999999999999;0.179257; 0.009558; false; 1.18699;1.12; 0.181881; 0.599946;0.029848;0.12361499999999999; 0.008339; false; 1.16326;1.31; 0.261078; 0.602853;0.057808999999999985;0.17106700000000002; 0.006531; false; 1.37921;3.58; 1.0600; 0.0000; 1.3470; 0.0106; 0.0026; False; 1.3603; 2.4371
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-33-*.mata;1.2; 0.275439; 0.511482;0.03279599999999999;0.131388; 0.00822; false; 1.26094;1.3; 0.146635; 0.607699;0.05831199999999999;0.17881399999999997; 0.00906; false; 1.35761;1.16; 0.158641; 0.443817;0.063959;0.201318; 0.007983; false; 1.20998;3.22; 1.1481; 0.0000; 1.2075; 0.0096; 0.0032; False; 1.2204; 2.3893
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-34-*.mata;1.36; 0.273442; 0.683953;0.053603;0.17401500000000006; 0.008003; false; 1.4222;1.54; 0.161307; 0.676703;0.071246;0.215535; 0.012364; false; 1.59044;1.57; 0.27835; 0.684542;0.06538400000000001;0.21560600000000005; 0.010776; false; 1.63645;3.86; 1.3762; 0.0000; 1.3961; 0.0120; 0.0034; False; 1.4116; 2.8104
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-35-*.mata;1.15; 0.173403; 0.448986;0.05081400000000001;0.19143700000000005; 0.009243; false; 1.20024;1.22; 0.281403; 0.471816;0.056824;0.20581399999999997; 0.012009; false; 1.28068;1.75; 0.301933; 0.726426;0.07523200000000002;0.27095699999999995; 0.012116; false; 1.80504;4.01; 1.2608; 0.0000; 1.7839; 0.0118; 0.0030; False; 1.7988; 3.0824
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-36-*.mata;1.35; 0.322123; 0.564699;0.04456499999999999;0.20684899999999998; 0.011757; false; 1.40751;1.75; 0.296995; 0.737532;0.07953099999999999;0.263515; 0.014001; false; 1.81198;1.5; 0.332088; 0.722294;0.04227199999999999;0.19757799999999998; 0.01097; false; 1.57449;4.18; 1.1233; 0.0000; 1.8057; 0.0177; 0.0061; False; 1.8295; 2.9886
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-37-*.mata;2.04; 0.336871; 0.828806;0.08984500000000001;0.34156000000000003; 0.016122; false; 2.10257;1.29; 0.247336; 0.506052;0.048496000000000004;0.23847999999999997; 0.013849; false; 1.33994;1.91; 0.318504; 0.84453;0.081987;0.25655; 0.014226; false; 1.96473;4.08; 1.4573; 0.0000; 1.4509; 0.0122; 0.0046; False; 1.4678; 2.9584
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/exppaths2-38-*.mata;1.54; 0.337492; 0.696745;0.04700599999999999;0.21755; 0.013335; false; 1.61396;2.14; 0.354169; 0.911559;0.09094899999999997;0.3049880000000001; 0.015265; false; 2.22186;2.13; 0.374791; 0.925114;0.08324599999999999;0.298604; 0.013893; false; 2.20488;4.92; 1.9824; 0.0000; 1.8919; 0.0137; 0.0041; False; 1.9098; 3.9218
