name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1437.0.mata;0.09; 0.08507; 0.021841; 0.001147; 0.000142; 3.5e-05; false; 0.110116;0.09; 0.082991; 0.021864; 0.00109; 0.00014; 3.4e-05; false; 0.10817;0.08; 0.078603; 0.019493; 0.001684; 0.000512; 6.7e-05; 8e-06; false; 0.101988;1.16; 0.1520; 0.0000; 0.0020; 0.0001; 0.0000; False; 0.0021; 0.1544
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1471.0.mata;0.12; 0.104224; 0.033192; 0.00257; 0.000145; 8.4e-05; false; 0.144833;0.12; 0.114982; 0.034368; 0.002446; 0.000142; 8.4e-05; false; 0.156296;0.12; 0.131878; 0.03534; 0.003582; 0.000413; 3.2e-05; 1.5e-05; false; 0.175429;1.27; 0.1654; 0.0000; 0.0057; 0.0005; 0.0000; False; 0.0064; 0.1722
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1475.0.mata;0.24; 0.294596; 0.048829; 0.002377; 0.000149; 7.8e-05; false; 0.350743;0.25; 0.316602; 0.052273; 0.002609; 0.000156; 6.9e-05; false; 0.376916;0.24; 0.215871; 0.050434; 0.003905; 0.000448; 3.4e-05; 4e-05; false; 0.275192;1.14; 0.2470; 0.0000; 0.0030; 0.0001; 0.0000; False; 0.0032; 0.2505
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1477.0.mata;0.13; 0.109101; 0.036285; 0.002637; 0.000151; 8.2e-05; false; 0.153206;0.12; 0.099461; 0.034203; 0.002642; 0.000248; 8.9e-05; false; 0.142075;0.12; 0.103143; 0.032016; 0.003846; 0.000448; 3.2e-05; 3.6e-05; false; 0.143928;1.27; 0.1774; 0.0000; 0.0047; 0.0003; 0.0000; False; 0.0051; 0.1829
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1479.0.mata;0.25; 0.218819; 0.0535; 0.002496; 0.000162; 6.6e-05; false; 0.280181;0.25; 0.220028; 0.054384; 0.002415; 0.000137; 8.5e-05; false; 0.282513;0.25; 0.222276; 0.054716; 0.004326; 0.000452; 3.3e-05; 4.8e-05; false; 0.287226;1.58; 0.6010; 0.0000; 0.0048; 0.0002; 0.0000; False; 0.0050; 0.6065
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1575.0.mata;0.23; 0.209059; 0.045905; 0.002682; 0.000257; 7.5e-05; false; 0.261408;0.2; 0.18525; 0.041434; 0.002265; 0.000222; 6.8e-05; false; 0.2323;0.22; 0.200437; 0.042141; 0.003454; 0.00077; 8.9e-05; 3.8e-05; false; 0.250252;1.58; 0.4312; 0.0000; 0.0068; 0.0005; 0.0000; False; 0.0074; 0.4392
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;0.21; 0.33228; 0.047815; 0.002782; 0.000392; 8e-05; false; 0.387556;0.22; 0.417333; 0.044332; 0.002469; 0.000237; 7.3e-05; false; 0.468275;0.22; 0.324382; 0.032616; 0.00227; 0.00047; 5.7e-05; 2.6e-05; false; 0.362226;1.55; 0.3475; 0.0000; 0.0053; 0.0003; 0.0000; False; 0.0057; 0.3538
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;0.3; 0.381262; 0.052988; 0.003302; 0.000497; 4.8e-05; false; 0.44501;0.36; 0.455253; 0.069419; 0.003239; 0.000493; 4.8e-05; false; 0.535711;0.33; 0.290892; 0.071048; 0.004952; 0.000765; 9.9e-05; 4.5e-05; false; 0.374333;1.74; 0.5453; 0.0000; 0.0077; 0.0007; 0.0000; False; 0.0085; 0.5544
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;0.24; 0.218705; 0.05167; 0.002716; 0.000417; 8.6e-05; false; 0.278012;0.22; 0.213419; 0.036446; 0.001727; 0.000257; 6.1e-05; false; 0.254909;0.26; 0.237154; 0.056038; 0.003911; 0.000634; 7.9e-05; 3.8e-05; false; 0.302008;1.27; 0.2471; 0.0000; 0.0042; 0.0002; 0.0000; False; 0.0045; 0.2520
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;0.38; 0.342495; 0.079501; 0.003742; 0.000591; 0.000116; false; 0.433093;0.35; 0.321805; 0.06535; 0.003255; 0.000506; 9.4e-05; false; 0.396514;0.36; 0.336283; 0.072422; 0.005652; 0.000738; 9.1e-05; 3.5e-05; false; 0.420871;1.7; 0.4891; 0.0000; 0.0074; 0.0004; 0.0000; False; 0.0079; 0.4976
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;0.31; 0.269116; 0.076105; 0.003331; 0.000424; 0.000125; false; 0.355395;0.38; 0.339881; 0.079573; 0.003735; 0.000509; 0.000115; false; 0.430722;0.33; 0.293767; 0.075686; 0.003493; 0.000446; 7e-05; 2.9e-05; false; 0.377765;1.67; 0.5197; 0.0000; 0.0060; 0.0002; 0.0000; False; 0.0063; 0.5264
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.04; 0.035685; 0.013362; 0.000583; 9.1e-05; 2e-05; false; 0.051432;0.04; 0.036231; 0.013458; 0.000569; 9.1e-05; 2e-05; false; 0.05218;0.04; 0.036313; 0.013517; 0.000764; 0.000212; 3.1e-05; 1.1e-05; false; 0.052602;1.01; 0.0616; 0.0000; 0.0016; 0.0002; 0.0000; False; 0.0018; 0.0638
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.31; 0.275003; 0.065532; 0.002555; 0.000284; 8e-05; false; 0.347964;0.3; 0.273023; 0.060894; 0.002659; 0.000434; 8.6e-05; false; 0.34217;0.19; 0.174575; 0.045679; 0.002858; 0.000409; 6.8e-05; 3.5e-05; false; 0.226871;1.43; 0.3951; 0.0000; 0.0035; 0.0001; 0.0000; False; 0.0037; 0.3992
