name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-concat;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-33.mata;0.0; 8.7e-05;0.000517;0.00054; 0.000113; false; 0.002335;0.06; 7.7e-05;0.07338;0.000519;0.000349; 6.2e-05; false; 0.075784;0.01; 9e-05; 9e-06;0.005013;0.003686; 0.001618; false; 0.011939
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-34.mata;0.0; 0.000125;0.0029560000000000003;0.0006770000000000001; 0.000206; false; 0.008982;0.41; 0.000137;0.412416;0.00279;0.000748; 0.000204; false; 0.421292;0.01; 9.4e-05; 1.1e-05;0.00566;0.005063; 0.002551; false; 0.014396
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-35.mata;0.01; 0.000122;0.004685;0.0011879999999999998; 0.000319; false; 0.013496;1.07; 0.000128;1.103162;0.006306000000000001;0.00155; 0.000554; false; 1.12059;0.04; 0.000206; 1.6e-05;0.016069;0.016522; 0.008599; false; 0.043425
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-36.mata;0.02; 0.000191;0.008532000000000001;0.0019160000000000002; 0.000716; false; 0.024924;0.86; 0.000231;0.863536;0.007163999999999999;0.0017029999999999999; 0.000629; false; 0.883885;0.04; 0.000225; 1.7e-05;0.016864;0.017007; 0.008796; false; 0.04502
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-37.mata;0.0; 8e-05;0.000536;0.0005499999999999999; 0.000116; false; 0.002448;0.07; 8e-05;0.072323;0.0005020000000000001;0.000328; 6.2e-05; false; 0.074632;0.0; 6.3e-05; 1e-05;0.0029389999999999998;0.002221; 0.000947; false; 0.007094
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-38.mata;0.0; 9.9e-05;0.0018909999999999999;0.0005300000000000001; 0.000136; false; 0.005625;0.23; 8.3e-05;0.237514;0.001372;0.00044300000000000003; 0.000119; false; 0.242254;0.02; 0.000132; 1.7e-05;0.010273999999999998;0.008901; 0.004795; false; 0.025927
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-39.mata;0.02; 0.000219;0.008389;0.001748; 0.000582; false; 0.024137;1.14; 0.00021;1.146308;0.005931;0.001462; 0.000329; false; 1.16448;0.04; 0.000218; 2.1e-05;0.015344;0.015399; 0.008236; false; 0.041241
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-4.mata;0.02; 0.000205;0.008117;0.0014759999999999999; 0.000497; false; 0.023008;0.87; 0.000206;0.883597;0.005860000000000001;0.001316; 0.000331; false; 0.901065;0.04; 0.000221; 1.5e-05;0.016546;0.016697; 0.008599; false; 0.043872
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-40.mata;0.01; 0.00012;0.0045520000000000005;0.000954; 0.000333; false; 0.013095;0.87; 0.000119;0.87919;0.006172;0.001457; 0.000561; false; 0.896378;0.04; 0.000222; 1.6e-05;0.01597;0.015996; 0.008267; false; 0.042266
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance06529-41.mata;0.0; 8.5e-05;0.000568;0.00053; 0.000117; false; 0.002405;0.07; 8.6e-05;0.076854;0.000515;0.00033600000000000004; 6.6e-05; false; 0.079137;0.01; 0.000121; 1e-05;0.00573;0.004077; 0.001751; false; 0.01344
