name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07040.mata;0.0; 0.001291; 0.001045; 0.000122; 7.1e-05; false; 0.003382;0.0; 0.001357; 0.001302; 0.001107; 9.8e-05; 6.8e-05; false; 0.004777;0.0; 0.001271; 0.000104; 0.003219; 0.001734; 0.001248; false; 0.008738
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07045.mata;0.03; 0.023804; 0.003953; 0.000566; 5.9e-05; false; 0.03512;0.03; 0.022919; 0.000596; 0.003526; 0.000482; 6.6e-05; false; 0.034718;0.05; 0.028259; 0.00203; 0.009953; 0.004337; 0.004685; false; 0.0539
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07064.mata;0.22; 0.009387; 0.202712; 0.00788; 0.000251; false; 0.234595;0.13; 0.004721; 0.004751; 0.113565; 0.005331; 0.000227; false; 0.137783;0.53; 0.004614; 0.0003; 0.397904; 0.055191; 0.057952; false; 0.517205
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07075.mata;10.0; 9.59367; 1.04479; 0.000706; 0.000166; false; 11.2653;TO; 15.1513;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;34.08; 11.0919; 12.2095; 11.3538; 0.005304; 0.004989; false; 35.4432
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07110.mata;0.0; 0.001229; 0.000198; 1.8e-05; 1.6e-05; false; 0.001879;0.0; 0.0023; 0.002895; 0.000367; 4.1e-05; 3.1e-05; false; 0.006441;0.0; 0.001159; 0.000103; 0.000991; 0.000582; 0.000209; false; 0.004081
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07137.mata;0.21; 0.084454; 0.110687; 0.007438; 0.000165; false; 0.227048;0.45; 0.078907; 0.24674; 0.100792; 0.006181; 0.000167; false; 0.456191;0.42; 0.077179; 0.004451; 0.245793; 0.05129; 0.047979; false; 0.435031
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07152.mata;0.01; 0.005735; 0.002115; 0.000194; 0.000141; false; 0.010169;0.01; 0.005755; 0.007462; 0.002158; 0.000197; 0.00014; false; 0.017582;0.02; 0.005636; 0.000408; 0.00591; 0.002809; 0.002298; false; 0.018865
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07170.mata;0.0; 0.001045; 0.000811; 5.2e-05; 3.7e-05; false; 0.002443;0.0; 0.00096; 0.000867; 0.000766; 5.2e-05; 3.8e-05; false; 0.003225;0.01; 0.001866; 0.000164; 0.003731; 0.001685; 0.001174; false; 0.00987
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07273.mata;0.04; 0.036221; 0.002269; 0.00026; 0.000101; false; 0.046574;0.05; 0.019553; 0.032391; 0.001247; 7.2e-05; 9.5e-05; false; 0.056582;0.05; 0.035806; 0.001812; 0.006197; 0.002086; 0.001501; false; 0.053739
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07319.mata;0.03; 0.034963; 0.002394; 0.000145; 9.3e-05; false; 0.043417;0.07; 0.03483; 0.041801; 0.001349; 0.000122; 0.00011; false; 0.083703;0.05; 0.035968; 0.00183; 0.006215; 0.002095; 0.001464; false; 0.053458
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07419.mata;0.23; 0.092828; 0.118037; 0.009564; 0.000231; false; 0.255125;0.29; 0.051066; 0.171756; 0.061299; 0.004337; 0.000104; false; 0.304479;0.35; 0.092382; 0.005301; 0.175243; 0.034928; 0.042975; false; 0.360479
