name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-compl;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-compl;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;0.06; 0.054502; 0.016932; 0.000902; 0.00012; 3.2e-05; false; 0.07444;0.06; 0.057714; 0.017557; 0.001078; 0.000365; 4.4e-05; 2.4e-05; false; 0.078515;0.04; 0.032349; 0.011075; 0.000227; 0.002299; 0.00115; 0.000616; false; 0.049536
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;0.36; 0.322879; 0.06998; 0.002949; 0.000391; 8.6e-05; false; 0.401045;0.35; 0.317653; 0.063671; 0.004108; 0.000668; 8.7e-05; 4.4e-05; false; 0.390248;0.36; 0.304389; 0.06739; 0.001542; 0.011407; 0.002941; 0.002173; false; 0.396161
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;0.38; 0.341265; 0.068106; 0.003258; 0.000328; 8.4e-05; false; 0.417892;0.37; 0.342586; 0.070475; 0.004991; 0.000741; 8.3e-05; 3e-05; false; 0.424095;0.4; 0.336428; 0.071039; 0.001685; 0.012444; 0.003042; 0.002434; false; 0.433423
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;0.26; 0.243154; 0.047868; 0.00238; 0.000222; 7.2e-05; false; 0.29712;0.28; 0.246385; 0.051017; 0.003682; 0.000703; 8.1e-05; 4.3e-05; false; 0.305552;0.27; 0.235973; 0.050577; 0.001105; 0.009255; 0.002412; 0.001759; false; 0.305046
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;0.25; 0.232202; 0.046716; 0.002391; 0.000233; 7.3e-05; false; 0.285402;0.26; 0.235548; 0.048872; 0.003695; 0.000698; 8.6e-05; 4.2e-05; false; 0.292553;0.29; 0.236842; 0.052651; 0.001167; 0.009556; 0.002213; 0.001751; false; 0.309164
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1723.0.mata;0.25; 0.233699; 0.048722; 0.002452; 0.000252; 7.9e-05; false; 0.288891;0.26; 0.2341; 0.04866; 0.003659; 0.000702; 8.1e-05; 4.2e-05; false; 0.290903;0.28; 0.233315; 0.050437; 0.001147; 0.009175; 0.002361; 0.001808; false; 0.302138
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1726.0.mata;0.26; 0.240013; 0.047476; 0.002353; 0.000236; 7.3e-05; false; 0.293587;0.27; 0.243563; 0.048166; 0.003665; 0.000704; 7.9e-05; 4.1e-05; false; 0.299846;0.28; 0.235466; 0.051447; 0.001153; 0.009692; 0.00231; 0.001685; false; 0.30633
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1728.0.mata;0.26; 0.239901; 0.049349; 0.002382; 0.000221; 6.9e-05; false; 0.295546;0.27; 0.243739; 0.049387; 0.003717; 0.00071; 7.9e-05; 4.1e-05; false; 0.30149;0.27; 0.236445; 0.052332; 0.001147; 0.009117; 0.002283; 0.001683; false; 0.307139
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1729.0.mata;0.25; 0.232658; 0.050244; 0.002373; 0.000219; 6.9e-05; false; 0.289014;0.26; 0.238132; 0.049567; 0.003679; 0.000684; 8.2e-05; 3.9e-05; false; 0.296022;0.26; 0.2265; 0.047671; 0.001129; 0.009279; 0.002239; 0.001677; false; 0.292328
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_173.0.mata;0.08; 0.069735; 0.019766; 0.001003; 0.000104; 2.9e-05; false; 0.092483;0.08; 0.069822; 0.019324; 0.001391; 0.000479; 5.4e-05; 2.1e-05; false; 0.092936;0.08; 0.070749; 0.019616; 0.000379; 0.002779; 0.001335; 0.000676; false; 0.098434
