name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut25.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.34; 0.305305; 0.069702;5.8e-05;3.9e-05; 7e-06; true; 0.383679;0.5; 0.380452; 0.120756;0.02843;6.1e-05;2.5000000000000005e-05; 7e-06; true; 0.544978;0.72; 0.33987; 0.074069;0.002981;0.000796;0.00065; 0.332731; true; 0.759875
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.27; 0.212128; 0.084507;0.000214;7.000000000000001e-05; 9.1e-05; true; 0.305225;0.4; 0.347437; 0.075738;0.008175;6.4e-05;3.5999999999999994e-05; 3.5e-05; true; 0.437599;0.47; 0.204775; 0.077922;0.00197;0.0011589999999999999;0.001012; 0.200503; true; 0.494006
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.17; 0.121601; 0.039939;0.002327;0.000723; 0.022705; false; 0.194988;0.13; 0.096441; 0.027039;0.016423;0.00046100000000000004;0.000132; 0.00169; false; 0.146765;0.3; 0.123396; 0.041159;0.001953;0.005227;0.008528; 0.132606; false; 0.319292
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.14; 0.111317; 0.034661;0.000368;0.00017999999999999998; 0.003881; false; 0.155824;0.09; 0.065368; 0.021704;0.014534;0.000259;7.000000000000001e-05; 0.000206; false; 0.105172;0.2; 0.114074; 0.033217;0.001412;0.001499;0.001401; 0.055409; false; 0.212093
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.13; 0.10148; 0.040272;0.000436;0.00018899999999999999; 6e-06; true; 0.148398;0.07; 0.054378; 0.022868;0.0065829999999999994;7.099999999999999e-05;1.8e-05; 7e-06; true; 0.087656;0.12; 0.07688; 0.040627;0.0017259999999999999;0.002396;0.0017999999999999997; 0.002803; true; 0.133552
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.09; 0.071569; 0.029885;0.000245;0.00013299999999999998; 7e-06; true; 0.105979;0.14; 0.10367; 0.043858;0.012362999999999999;0.000113;2.7000000000000002e-05; 8e-06; true; 0.167148;0.14; 0.085428; 0.047048;0.002128;0.0026880000000000003;0.001915; 0.002956; true; 0.150598
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.1; 0.07311; 0.036167;4.7e-05;2.4000000000000004e-05; 9e-06; true; 0.116719;0.07; 0.043936; 0.027373;0.005965000000000001;4.7999999999999994e-05;3.0999999999999995e-05; 5e-06; true; 0.082914;0.06; 0.041676; 0.024825;0.000982;0.000562;0.00039; 0.003125; true; 0.075489
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.05; 0.036889; 0.018607;2.4e-05;1.2000000000000002e-05; 7e-06; true; 0.05893;0.04; 0.030243; 0.017322;0.0032559999999999993;2.6000000000000002e-05;2.2000000000000003e-05; 7e-06; true; 0.054705;0.05; 0.037124; 0.018179;0.000616;0.000859;0.0007; 0.001679; true; 0.063613
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.06; 0.043983; 0.025895;4.6e-05;2.2000000000000003e-05; 9e-06; true; 0.074273;0.04; 0.024209; 0.016792;0.002989;1.7e-05;1.8e-05; 6e-06; true; 0.046899;0.07; 0.04338; 0.027005;0.000786;0.0009260000000000001;0.000682; 0.003125; true; 0.080985
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.08; 0.065616; 0.030998;0.00035300000000000007;0.000169; 8e-06; true; 0.102637;0.17; 0.114332; 0.050002;0.024156;0.00016999999999999999;4.3e-05; 9e-06; true; 0.19758;0.11; 0.065752; 0.033939;0.0014160000000000002;0.001307;0.0013319999999999999; 0.013014; true; 0.122774
