name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-inclusion_check;mata-sim-inclusion_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-inclusion_check;awali-inclusion_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T114-rhs.mata;0.06; 0.047092; 0.02163; 7.1e-05; false; 0.073069;0.09; 0.046794; 0.020604; 0.03363; 0.000132; false; 0.105384;0.07; 0.04621; 0.019967;0.000951; 0.009297; false; 0.08088
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T116-rhs.mata;0.07; 0.047473; 0.023666; 6.9e-05; false; 0.076143;0.1; 0.048907; 0.023168; 0.03775; 0.000124; false; 0.114795;0.08; 0.052409; 0.024108;0.001201; 0.011074; false; 0.094105
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T118-rhs.mata;0.08; 0.061053; 0.02852; 6.9e-05; false; 0.095037;0.14; 0.062902; 0.027513; 0.054279; 0.000146; false; 0.150975;0.1; 0.061626; 0.028468;0.001343; 0.012025; false; 0.109589
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T12-rhs.mata;0.55; 0.396063; 0.158566; 0.017048; false; 0.608875;0.49; 0.378944; 0.107874; 0.007314; 0.009629; false; 0.522722;0.52; 0.402667; 0.10255;0.006632000000000001; 0.02795; false; 0.561864
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T120-rhs.mata;0.05; 0.03737; 0.016035; 4.4e-05; false; 0.056286;0.07; 0.037229; 0.015662; 0.024493; 7.6e-05; false; 0.080302;0.05; 0.036494; 0.014961;0.000764; 0.006615; false; 0.061915
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T121-rhs.mata;0.04; 0.037054; 0.017082; 4.8e-05; false; 0.058168;0.14; 0.062862; 0.028729; 0.057187; 0.000124; false; 0.155223;0.11; 0.066146; 0.03028;0.0014889999999999999; 0.012387; false; 0.117094
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T122-rhs.mata;0.05; 0.040684; 0.019867; 4.8e-05; false; 0.064894;0.15; 0.070181; 0.033693; 0.052871; 0.000136; false; 0.163721;0.06; 0.040271; 0.019886;0.000882; 0.007609; false; 0.073134
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T123-rhs.mata;0.04; 0.035225; 0.016332; 4.4e-05; false; 0.055098;0.08; 0.03588; 0.017947; 0.033719; 9.2e-05; false; 0.091493;0.1; 0.063555; 0.028124;0.0015040000000000001; 0.012962; false; 0.112523
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T124-rhs.mata;0.01; 0.012064; 0.007384; 2.4e-05; false; 0.020698;0.02; 0.012476; 0.0075; 0.007518; 2.8e-05; false; 0.028965;0.04; 0.022089; 0.012244;0.00048800000000000004; 0.008825; false; 0.046707
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T125-rhs.mata;0.06; 0.044082; 0.020998; 4.7e-05; false; 0.069333;0.12; 0.078401; 0.020692; 0.034671; 9.3e-05; false; 0.138247;0.12; 0.075577; 0.034461;0.001836; 0.013771; false; 0.133096
