name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-sim-runtime;mata-sim-mataparsing;mata-sim-mataminterm;mata-sim-reduce;mata-sim-intersection;mata-sim-trim;mata-sim-emptiness_check;mata-sim-emptiness_check_result;mata-sim-overall;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-intersection;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;0.64; 0.18196; 0.054188; 0.329712; 0.160521; 0.000214; false; 0.736643;0.98; 0.266523; 0.070586; 0.000474; 0.534763; 0.229462; 0.000175; false; 1.1167;5.63; 0.175051; 0.055216;0.001653; 1.67039; 2.80201; 0.682869; false; 5.39403
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;1.28; 0.304891; 0.089959; 0.718937; 0.281932; 0.000327; false; 1.41409;1.22; 0.327173; 0.088035; 0.000547; 0.659175; 0.277759; 0.000123; false; 1.36802;7.83; 0.290822; 0.079192;0.002611; 2.66356; 3.78519; 0.762736; false; 7.59456
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;1.12; 0.32949; 0.099704; 0.574534; 0.245498; 0.000202; false; 1.26727;1.46; 0.335186; 0.105258; 0.000747; 0.841084; 0.334796; 0.000366; false; 1.63941;9.51; 0.212682; 0.061925;0.001987; 3.13902; 4.6512; 1.19745; false; 9.27408
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;1.25; 0.344847; 0.07348; 0.674948; 0.306612; 0.000365; false; 1.4185;1.03; 0.238699; 0.068186; 0.00036; 0.564671; 0.293097; 0.000237; false; 1.17776;12.15; 0.357079; 0.133727;0.0034739999999999997; 3.7166; 5.91656; 1.52488; false; 11.6712
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;1.15; 0.240591; 0.075619; 0.660363; 0.327306; 0.000153; false; 1.31838;1.17; 0.240886; 0.074566; 0.000423; 0.68253; 0.323351; 0.000178; false; 1.33769;11.57; 0.416173; 0.107627;0.0036170000000000004; 3.85837; 5.27124; 1.22133; false; 10.8918
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;1.61; 0.441446; 0.114833; 0.911591; 0.332021; 0.000136; false; 1.82286;2.07; 0.432406; 0.111887; 0.000896; 1.24641; 0.531191; 0.000404; false; 2.34661;13.41; 0.25071; 0.078536;0.00243; 4.02512; 7.13045; 1.54115; false; 13.0391
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;2.08; 0.460329; 0.121302; 1.26863; 0.535854; 0.000178; false; 2.41317;1.85; 0.414314; 0.113066; 0.00093; 1.18929; 0.37668; 0.000144; false; 2.115;16.26; 0.414161; 0.11145;0.003854; 5.34333; 7.68946; 2.09749; false; 15.6753
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;2.32; 0.461469; 0.130546; 1.42092; 0.59496; 0.000298; false; 2.64319;1.64; 0.290597; 0.08647; 0.000522; 1.01798; 0.437392; 0.000389; false; 1.85536;16.85; 0.389351; 0.08081;0.002496; 4.8342; 8.23579; 2.48605; false; 16.0389
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.04; 0.031073; 0.011685; 0.005745; 0.004932; 1.7e-05; false; 0.055762;0.04; 0.03156; 0.009328; 0.003584; 0.002275; 0.001425; 1.3e-05; false; 0.049706;0.18; 0.050356; 0.016744;0.000438; 0.031124; 0.063017; 0.019811; false; 0.184751
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;2.7; 0.477823; 0.132031; 1.68199; 0.718629; 0.000288; false; 3.04584;2.33; 0.472367; 0.148805; 0.000864; 1.431; 0.567229; 0.000629; false; 2.65424;20.56; 0.479909; 0.126719;0.004635; 6.76388; 9.701; 2.699; false; 19.7943
