name;automata-runtime;automata-construction;automata-trim;mata-runtime;mata-mataparsing;mata-mataminterm;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pyfado-runtime;pyautomata-lib-runtime;java-automatalib-runtime;java-brics-runtime;java-brics-construction
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;TO;0.1734028;0.009558800000000001;TO; 0.310571; 0.081561;TO; 0.307172; 0.077304;TO; 0.284916; 0.074954;0.019058;TO; 0.29473; 0.076415;0.0029119999999999997;TO; 0.288301; 0.080073;TO;TO;TO;TO;TO;0.094332364
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;TO;0.3315866;0.0118084;TO; 0.287205; 0.061339;TO; 0.333503; 0.078485;TO; 0.332876; 0.083591;0.022653;TO; 0.338326; 0.09456;0.00314;TO; 0.377429; 0.10944;TO;TO;TO;TO;TO;0.11523075299999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;TO;0.1857817;0.0097666;TO; 0.366364; 0.095165;TO; 0.370995; 0.095078;TO; 0.340488; 0.089431;0.02514;TO; 0.324901; 0.084343;0.003463;TO; 0.383967; 0.098583;TO;TO;TO;TO;TO;0.20255019000000002
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;TO;0.3159319;0.0170365;TO; 0.408031; 0.114646;TO; 0.389053; 0.093046;TO; 0.369428; 0.104086;0.028755000000000003;TO; 0.360032; 0.09173;0.0036509999999999997;TO; 0.220331; 0.066579;TO;TO;TO;TO;TO;0.125157548
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;TO;0.33180750000000003;0.0127285;TO; 0.402787; 0.107786;TO; 0.382607; 0.092444;TO; 0.38583; 0.099367;0.027757;TO; 0.376197; 0.093594;0.003919000000000001;TO; 0.412476; 0.124454;TO;TO;TO;TO;TO;0.10674731900000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;TO;0.25267470000000003;0.011352000000000001;TO; 0.346258; 0.11506;TO; 0.458095; 0.123698;TO; 0.450867; 0.170095;0.030305;TO; 0.46864; 0.11533;0.004254;TO; 0.412522; 0.114116;TO;TO;TO;TO;TO;0.09702060400000001
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;TO;0.2775978;0.0118252;TO; 0.464669; 0.124319;TO; 0.418771; 0.129154;TO; 0.476718; 0.122081;0.036106;TO; 0.266652; 0.076469;0.002884;TO; 0.490526; 0.154998;TO;TO;TO;TO;TO;0.105951729
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;TO;0.2457581;0.0122229;TO; 0.513471; 0.123794;TO; 0.457924; 0.122537;TO; 0.482756; 0.135234;0.040008;TO; 0.47354; 0.128132;0.005513;TO; 0.380668; 0.10788;TO;TO;TO;TO;TO;0.141332655
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;TO;0.08519639999999999;0.010557200000000001;TO; 0.054239; 0.017573;TO; 0.053022; 0.017821;TO; 0.052005; 0.016196;0.002779;TO; 0.05181; 0.01512;0.000507;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.07754507699999999
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;TO;0.400551;0.0105941;ERR;ERR;ERR;TO; 0.49563; 0.122965;TO; 0.516771; 0.136944;0.037129999999999996;TO; 0.476954; 0.115114;0.005207;TO; 0.661431; 0.146541;TO;TO;TO;TO;TO;0.17835451600000002
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;TO;0.1235684;0.008684200000000001;TO; 0.070912; 0.023713;TO; 0.074387; 0.023171;TO; 0.059749; 0.018783;0.004661;TO; 0.080003; 0.02177;0.0007160000000000001;ERR;ERR;ERR;TO;TO;TO;TO;TO;0.057218331
