name;mata-runtime;mata-mataparsing;mata-concat;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-concat;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall;awali-runtime;awali-mataparsing;awali-construction;awali-concat;awali-trim;awali-emptiness_check;awali-emptiness_check_result;awali-overall;pymata-runtime;pymata-construction;pymata-conversion;pymata-concat;pymata-trimming;pymata-emptiness;pymata-result;pymata-interpretation;pymata-overall;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-concat;pyfado-emptiness;pyfado-result;pyfado-interpretation;pyfado-overall;java-brics-runtime;java-brics-construction;java-brics-concat;java-brics-emptiness_check;java-brics-emptiness_result;java-brics-interpretation;java-brics-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance10941-4.mata;0.07; 0.000323;0.023763;0.020371; 0.004438; false; 0.090396;0.08; 0.000321;0.023780000000000003;0.02257; 0.004478; false; 0.092878;0.45; 0.000346; 3.9e-05;0.195331;0.184232; 0.090714; false; 0.482245;3.1; 0.0069; 0.0000;0.2355;1.7882; 0.0210; False; 2.0452; 2.0610;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.34; 0.007723725;0.251234914; 2.7112E-5; false; 0.262073586; 0.32334847
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11038-1.mata;0.07; 0.000294;0.021971;0.018942; 0.004081; false; 0.084225;0.07; 0.000331;0.022407999999999997;0.019229; 0.004109; false; 0.085122;0.42; 0.000344; 4.3e-05;0.178686;0.16575; 0.081615; false; 0.437104;1.9; 0.0047; 0.0000;0.13490000000000002;0.7868; 0.0103; False; 0.9323; 0.9422;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.59; 0.010568879;0.291499308; 2.683E-5; false; 0.303087725; 0.390185508
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11038-2.mata;0.09; 0.00038;0.027993999999999998;0.024279000000000002; 0.005305; false; 0.106871;0.09; 0.000363;0.02768;0.024098; 0.005304; false; 0.106093;0.53; 0.000385; 4.6e-05;0.224327;0.212595; 0.10562; false; 0.556255;3.72; 0.0073; 0.0000;0.2823;2.2907; 0.0233; False; 2.5967; 2.6137;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.54; 0.009583466;0.316672844; 3.2347E-5; false; 0.340296961; 0.406996029
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11080-1.mata;0.16; 0.000778;0.049889;0.020631999999999998; 0.002691; false; 0.168175;0.26; 0.001405;0.089185;0.029732; 0.003465; false; 0.280042;0.86; 0.001519; 0.000138;0.352004;0.339795; 0.174874; false; 0.881653;1.9; 0.0087; 0.0000;0.47829999999999995;0.3347; 0.0189; False; 0.8326; 0.8722;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.79; 0.023542965;0.31315286; 5.0116E-5; false; 0.343285463; 0.46854313
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11192-1.mata;0.0; 8.1e-05;0.000639;0.000554; 0.000134; false; 0.002556;0.0; 8.4e-05;0.000595;0.000543; 0.000126; false; 0.002575;0.01; 0.000103; 1.2e-05;0.0057870000000000005;0.004072; 0.001825; false; 0.013287;1.11; 0.0064; 0.0000;0.0057;0.0013; 0.0005; False; 0.0077; 0.0147;2.39; 0.0064; 0.0001;1.2027; 0.0830; False; 1.2860; 1.2936;0.93; 0.006167239;0.017515321; 2.3031E-5; false; 0.028421611; 0.106542215
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11192-2.mata;0.14; 0.000805;0.04420399999999999;0.015171; 0.002908; false; 0.144188;0.13; 0.000768;0.044283;0.015327; 0.00301; false; 0.144517;0.45; 0.000812; 6.8e-05;0.187356;0.179312; 0.085585; false; 0.461417;1.74; 0.0076; 0.0000;0.2552;0.3786; 0.0108; False; 0.6451; 0.6662;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.3; 0.015199097;0.172913936; 2.4739E-5; false; 0.184650821; 0.282382715
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11192-3.mata;0.0; 8e-05;0.0006100000000000001;0.0005560000000000001; 0.000121; false; 0.002561;0.0; 7.8e-05;0.000591;0.000542; 0.000121; false; 0.002528;0.01; 0.0001; 1e-05;0.005627;0.004007; 0.001814; false; 0.012938;1.08; 0.0063; 0.0000;0.0049;0.0012000000000000001; 0.0004; False; 0.0068; 0.0136;2.35; 0.0064; 0.0001;1.1892; 0.0845; False; 1.2742; 1.2818;0.93; 0.005774057;0.016071568; 3.3426E-5; false; 0.026929359; 0.098694565
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11192-4.mata;0.37; 0.002081;0.135478;0.032716999999999996; 0.004614; false; 0.393413;0.39; 0.002101;0.136274;0.032621; 0.004684; false; 0.396215;0.91; 0.002232; 0.00017;0.392669;0.374336; 0.192699; false; 0.971392;1.98; 0.0099; 0.0000;0.6008;0.2367; 0.0159; False; 0.8538; 0.9037;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;1.48; 0.027014994;0.222321466; 2.868E-5; false; 0.232859244; 0.362108509
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11254-1.mata;0.13; 0.000902;0.052273;0.011402; 0.002061; false; 0.149284;0.14; 0.000865;0.051205;0.010995000000000001; 0.001921; false; 0.145843;0.37; 0.000926; 7.9e-05;0.172545;0.143428; 0.074146; false; 0.39613;1.42; 0.0079; 0.0000;0.2385;0.0548; 0.0067; False; 0.3004; 0.3235;TO;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;MISSING;0.86; 0.015294903;0.07426956300000001; 3.2739E-5; false; 0.082463304; 0.165109476
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement/instance11346-1.mata;0.0; 8.1e-05;0.000557;0.000536; 0.000118; false; 0.002401;0.0; 5.4e-05;0.000317;0.00035999999999999997; 7.9e-05; false; 0.001489;0.01; 8.5e-05; 1.2e-05;0.005214;0.0037289999999999997; 0.001666; false; 0.011982;0.75; 0.0043; 0.0000;0.003;0.0005; 0.0002; False; 0.0041; 0.0088;1.34; 0.0043; 0.0000;0.5292; 0.0413; False; 0.5708; 0.5757;0.89; 0.005203748;0.046495938; 2.0462E-5; false; 0.056509711; 0.122447068
