name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-500-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.66; 0.212745; 0.061613; 0.282043; 0.169312; 0.000125; false; 0.738263
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-550-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.82; 0.282681; 0.056776; 0.418919; 0.160305; 0.000171; false; 0.928058
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-600-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.02; 0.224874; 0.08705; 0.575409; 0.254468; 0.000206; false; 1.1604
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.04; 0.253344; 0.080005; 0.49787; 0.319813; 0.00013; false; 1.16657
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.32; 0.224548; 0.098122; 2e-06; 3e-06; 3e-06; true; 0.339577;1.42; 0.361676; 0.105931; 0.791132; 0.326228; 0.000167; false; 1.60581
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.33; 0.334426; 0.063618; 0.814977; 0.286753; 0.00011; false; 1.51057
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.44; 0.247123; 0.095008; 0.92566; 0.378519; 0.000224; false; 1.66299
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;1.99; 0.423804; 0.114248; 1.30858; 0.383254; 0.000242; false; 2.25215
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;2.11; 0.361833; 0.094328; 1.38733; 0.520452; 0.000195; false; 2.38625
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;2.23; 0.359605; 0.102306; 1.49101; 0.537051; 0.000818; false; 2.51727
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.047739; 0.010773; 0.004903; 0.00405; 1.5e-05; false; 0.069123
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;2.68; 0.442969; 0.09704; 1.86606; 0.552295; 0.000853; false; 2.99294
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.12; 0.07013; 0.022193; 0.025925; 0.018272; 3.9e-05; false; 0.139693
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.103922; 0.02675; 0.04859; 0.026257; 3.9e-05; false; 0.209087
