name;mata-runtime;mata-mataparsing;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07622.mata;0.01; 0.011738; 0.001238; 0.000102; 4e-05; false; 0.015938;0.02; 0.016978; 0.001435; 8.5e-05; 3.5e-05; false; 0.020981
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07668.mata;0.01; 0.010573; 0.00425; 0.000458; 0.000226; false; 0.019632;0.01; 0.007675; 0.001925; 0.00027; 0.000147; false; 0.012187
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07669.mata;0.36; 0.062973; 0.269363; 0.008793; 0.000567; false; 0.382074;0.25; 0.068144; 0.164822; 0.007905; 0.000518; false; 0.265707
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07674.mata;0.12; 0.029035; 0.08387; 0.002835; 0.000244; false; 0.129596;0.08; 0.035842; 0.043056; 0.002183; 0.000216; false; 0.089681
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07677.mata;0.01; 0.007725; 0.001251; 0.000125; 4e-05; false; 0.011282;0.01; 0.009542; 0.001018; 8.4e-05; 3e-05; false; 0.012562
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07756.mata;9.91; 9.28159; 0.170672; 0.000238; 0.000142; false; 10.253;12.54; 12.4779; 0.31929; 0.000768; 0.000283; false; 13.7836
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07783.mata;0.0; 0.0017; 0.000307; 3.1e-05; 2.4e-05; false; 0.002807;0.0; 0.002134; 0.00033; 3.1e-05; 2.2e-05; false; 0.003163
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07807.mata;0.0; 0.003913; 0.00104; 9.2e-05; 7.8e-05; false; 0.006554;0.0; 0.004862; 0.000818; 8e-05; 5.8e-05; false; 0.007046
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07937.mata;0.06; 0.04822; 0.004578; 0.000423; 0.000226; false; 0.06541;0.05; 0.044621; 0.003669; 0.000353; 0.000186; false; 0.060595
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance07947.mata;0.01; 0.005237; 0.001754; 0.000234; 4.5e-05; false; 0.009597;0.01; 0.006843; 0.001654; 0.000183; 5.2e-05; false; 0.010737
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08001.mata;0.02; 0.011774; 0.009497; 0.00051; 5.9e-05; false; 0.025325;0.02; 0.016118; 0.008159; 0.000346; 5.2e-05; false; 0.027757
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08023.mata;0.03; 0.018977; 0.003869; 0.000708; 6e-05; false; 0.031618;0.03; 0.024219; 0.001913; 0.000429; 4.7e-05; false; 0.031345
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08029.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08074.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08114.mata;0.35; 0.047591; 0.274884; 0.008263; 0.000513; false; 0.369173;0.41; 0.094744; 0.26939; 0.010457; 0.00057; false; 0.418539
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08116.mata;0.0; 0.001784; 0.001795; 0.000256; 4.6e-05; false; 0.005957;0.01; 0.003915; 0.003409; 0.000431; 0.0001; false; 0.011025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08118.mata;0.13; 0.123146; 0.001825; 8.8e-05; 9.7e-05; false; 0.142518;0.16; 0.174123; 0.001723; 9.4e-05; 8.9e-05; false; 0.191085
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08130.mata;0.0; 0.001603; 0.000225; 2.3e-05; 2e-05; false; 0.002529;0.0; 0.001936; 0.000223; 2e-05; 2.1e-05; false; 0.002753
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08186.mata;0.47; 0.431886; 0.00538; 0.000131; 9.4e-05; false; 0.48911;0.28; 0.30013; 0.00294; 7.2e-05; 5.1e-05; false; 0.326245
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08189.mata;0.01; 0.003607; 0.005776; 0.000354; 2.1e-05; false; 0.011352;0.01; 0.004902; 0.006438; 0.000417; 2.3e-05; false; 0.013441
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08201.mata;0.03; 0.028283; 0.005097; 0.000193; 5.7e-05; false; 0.039089;0.09; 0.078674; 0.008203; 0.000475; 0.000112; false; 0.099683
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08207.mata;0.01; 0.009921; 0.000663; 5.1e-05; 5.4e-05; false; 0.012774;0.03; 0.027466; 0.001238; 8.9e-05; 7.4e-05; false; 0.033269
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08227.mata;0.02; 0.019699; 0.002909; 0.000174; 4.5e-05; false; 0.026755;0.03; 0.027818; 0.002445; 0.000152; 4.3e-05; false; 0.034209
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08252.mata;9.88; 9.09966; 0.197764; 0.000436; 0.000299; false; 10.1686;10.88; 10.9038; 0.287139; 0.000615; 0.000259; false; 12.1385
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08289.mata;0.1; 0.079802; 0.00662; 0.000439; 0.000272; false; 0.103331;0.13; 0.116869; 0.005681; 0.000387; 0.000243; false; 0.139347
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08297.mata;0.01; 0.010957; 0.001437; 0.000106; 3.7e-05; false; 0.015212;0.02; 0.015928; 0.001101; 7.9e-05; 3.5e-05; false; 0.019598
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08347.mata;0.12; 0.029878; 0.085034; 0.00243; 0.000185; false; 0.13065;0.14; 0.044632; 0.081357; 0.002325; 0.000179; false; 0.141522
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08361.mata;0.01; 0.003319; 0.003538; 0.000392; 6.2e-05; false; 0.010594;0.01; 0.004018; 0.003538; 0.00038; 6.7e-05; false; 0.010992
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08416.mata;0.01; 0.003317; 0.003559; 0.000381; 6.5e-05; false; 0.010582;0.01; 0.004001; 0.003536; 0.000373; 7.1e-05; false; 0.010966
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08518.mata;0.01; 0.009329; 0.002056; 0.000164; 3.9e-05; false; 0.014094;0.01; 0.012246; 0.001844; 0.000136; 3.5e-05; false; 0.016533
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08521.mata;0.03; 0.019223; 0.003867; 0.000543; 5.1e-05; false; 0.031333;0.03; 0.025092; 0.003873; 0.000397; 5.1e-05; false; 0.035726
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08567.mata;0.03; 0.019601; 0.003884; 0.000551; 4.9e-05; false; 0.031807;0.03; 0.029549; 0.003772; 0.0004; 4.9e-05; false; 0.040084
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08588.mata;0.28; 0.255164; 0.003345; 0.000156; 0.000137; false; 0.286734;0.33; 0.33449; 0.003385; 0.00015; 0.00014; false; 0.365017
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08621.mata;0.0; 0.002048; 0.001077; 0.000105; 7e-05; false; 0.004395;0.0; 0.002456; 0.000933; 8.6e-05; 6.4e-05; false; 0.004532
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08650.mata;0.0; 0.000939; 0.00128; 0.000125; 3.4e-05; false; 0.003461;0.0; 0.001036; 0.001249; 0.000133; 3.6e-05; false; 0.003451
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08686.mata;0.0; 0.005824; 0.001253; 9.5e-05; 4.1e-05; false; 0.00904;0.0; 0.007646; 0.001137; 9e-05; 7.4e-05; false; 0.010601
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08692.mata;0.0; 0.002601; 0.001834; 0.000177; 0.000111; false; 0.006339;0.0; 0.003107; 0.001677; 0.000186; 0.000115; false; 0.006551
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08717.mata;0.01; 0.011429; 0.002038; 0.00016; 4e-05; false; 0.016186;0.01; 0.0143; 0.001836; 0.000134; 3.4e-05; false; 0.018501
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08769.mata;0.07; 0.044387; 0.015522; 0.000738; 8.8e-05; false; 0.07009;0.07; 0.057494; 0.012992; 0.000654; 7.8e-05; false; 0.079846
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08817.mata;0.06; 0.037702; 0.015227; 0.000683; 7.9e-05; false; 0.062939;0.07; 0.058226; 0.013268; 0.000788; 8.8e-05; false; 0.081025
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08868.mata;0.06; 0.025354; 0.016466; 0.003172; 0.000279; false; 0.064706;0.07; 0.035991; 0.014831; 0.003186; 0.000334; false; 0.071563
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08891.mata;0.07; 0.065302; 0.003922; 0.000157; 0.000102; false; 0.079889;0.09; 0.089393; 0.003593; 0.00016; 0.000107; false; 0.103651
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08893.mata;0.0; 0.001157; 0.001207; 0.000109; 6.8e-05; false; 0.003456;0.0; 0.001378; 0.001178; 0.000126; 6.7e-05; false; 0.003606
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08923.mata;0.0; 0.001605; 0.000654; 5.3e-05; 4.6e-05; false; 0.003175;0.0; 0.001933; 0.00064; 5e-05; 4.1e-05; false; 0.003305
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance08956.mata;0.08; 0.068786; 0.007498; 0.000366; 0.000227; false; 0.091051;0.1; 0.091585; 0.00599; 0.000374; 0.000226; false; 0.112243
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09008.mata;0.0; 0.000948; 0.002726; 0.000136; 8.7e-05; false; 0.004734;0.0; 0.001216; 0.00271; 0.000138; 8.4e-05; false; 0.004922
/home/experiments/nfa-bench/benchmarks/z3-noodler/automatark/complement-big/instance09052.mata;0.08; 0.067691; 0.007448; 0.000344; 0.000233; false; 0.089752;0.1; 0.091922; 0.006057; 0.000363; 0.000221; false; 0.1127
