name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-compl;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-compl;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1789.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.29; 0.268414; 0.062463; 0.003155; 0.000442; 0.000101; false; 0.340141
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_179.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.04; 0.040316; 0.012545; 0.000524; 8.6e-05; 1.8e-05; false; 0.054857
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1792.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.28; 0.247302; 0.06212; 0.003096; 0.000477; 0.000123; false; 0.318562
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1795.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.17; 0.155212; 0.03779; 0.001629; 0.000202; 5.2e-05; false; 0.197677
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1798.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.29; 0.257693; 0.059389; 0.002889; 0.00041; 0.00011; false; 0.325047
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1817.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.3; 0.267885; 0.060209; 0.003001; 0.0004; 0.000103; false; 0.336425
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1847.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.16; 0.161556; 0.02833; 0.001301; 0.000186; 4.3e-05; false; 0.193831
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_187.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.069238; 0.020943; 0.000876; 0.000111; 2.9e-05; false; 0.093246
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1874.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.19; 0.174286; 0.041208; 0.002085; 0.000333; 9e-05; false; 0.221801
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1875.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.13; 0.121468; 0.026012; 0.001725; 0.000189; 5.3e-05; false; 0.152824
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1877.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.169385; 0.042931; 0.002245; 0.000354; 9.2e-05; false; 0.219538
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1878.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.2; 0.16984; 0.043977; 0.001862; 0.0003; 8.4e-05; false; 0.219808
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1879.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.12; 0.105445; 0.029575; 0.001972; 0.000193; 5.9e-05; false; 0.140443
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1887.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.18; 0.161029; 0.040943; 0.002103; 0.000283; 7.7e-05; false; 0.208734
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1897.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.11; 0.101981; 0.03043; 0.001231; 0.000281; 6.7e-05; false; 0.136947
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_277.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.078648; 0.018837; 0.001492; 0.000183; 3.7e-05; false; 0.10099
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_357.0.mata;0.17; 0.156404; 0.023499; 0.001294; 7e-05; 3.5e-05; false; 0.185701;0.08; 0.076163; 0.016693; 0.000637; 8e-05; 2.1e-05; false; 0.094753
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_378.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.06; 0.05656; 0.012201; 0.000627; 7.7e-05; 2.1e-05; false; 0.070578
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_379.0.mata;0.17; 0.153345; 0.022664; 0.001253; 7e-05; 3.5e-05; false; 0.181879;0.08; 0.070971; 0.01979; 0.001192; 0.000119; 3.5e-05; false; 0.093935
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_447.0.mata;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.040399; 0.016163; 0.000703; 5.3e-05; 2.3e-05; false; 0.059041
