name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-overall;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result;mata-old-overall
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T126-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.09; 0.068707; 0.029091; 7.8e-05; false; 0.105061
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T127-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.1; 0.077823; 0.026799; 6.6e-05; false; 0.108668
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T128-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.06; 0.047357; 0.025823; 4.7e-05; false; 0.077218
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T129-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.08; 0.060444; 0.025908; 4.7e-05; false; 0.090356
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T13-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.02; 0.02227; 0.009657; 7.1e-05; false; 0.033988
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T130-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.1; 0.07308; 0.032454; 7.8e-05; false; 0.1135
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T131-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.021072; 0.012812; 3.4e-05; false; 0.03628
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T132-rhs.mata;0.02; 0.016067; 0.011889; 1.7e-05; true; 0.030856;0.02; 0.022046; 0.013075; 2.9e-05; false; 0.037863
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T133-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.24; 0.183246; 0.073853; 0.001844; false; 0.275703
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T134-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.22; 0.134045; 0.079571; 0.006141; false; 0.238093
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T17-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.05; 0.038027; 0.018847; 8.4e-05; false; 0.060909
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T19-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.03; 0.02724; 0.012552; 9e-05; false; 0.042543
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T20-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.5; 0.374151; 0.143422; 0.00073; false; 0.559821
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T210-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.362229; 0.144521; 0.00386; false; 0.54541
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T211-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.57; 0.406559; 0.160435; 0.01847; false; 0.628497
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T212-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.367084; 0.157469; 0.002431; false; 0.563643
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T213-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.49; 0.362475; 0.145995; 7e-05; false; 0.550061
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T215-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.53; 0.38058; 0.155322; 0.017199; false; 0.587849
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T217-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.54; 0.381611; 0.151378; 0.01944; false; 0.589893
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T219-rhs.mata;1.72; 1.55369; 0.150438; 0.004875; false; 1.74778;0.46; 0.356313; 0.108781; 0.01074; false; 0.504685
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T224-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.51; 0.36699; 0.147651; 0.002862; false; 0.55399
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T23-rhs.mata;ERR;ERR;ERR;ERR;ERR;ERR;0.44; 0.345384; 0.119279; 0.004045; false; 0.504744
