name;automata-runtime;automata-construction;automata-trim;automata-intersection;automata-inclusion_check;automata-inclusion_result;automata-interpretation;automata-overall;automata-min-runtime;automata-min-construction;automata-min-trim;automata-min-intersection;automata-min-inclusion_check;automata-min-inclusion_result;automata-min-interpretation;automata-min-overall
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut5.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut38.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut57.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut69.mata;0.3;0.18517430000000001;0.008754999999999999;0.0140412; 0.0457493000; True; 0.0711642000; 0.2959019000;1.21;0.0364573;0.0054724;0.0082102; 0.0242158000; True; 0.0398670000; 0.1184522000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.23;0.1058981;0.0092216;0.019617; 0.0417908000; False; 0.0730409000; 0.2721444000;1.17;0.0660917;0.010291499999999999;0.0199292; 0.0450246000; False; 0.0781127000; 0.2041724000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.23;0.10581149999999999;0.008975000000000002;0.014624900000000001; 0.0450017000; False; 0.0710137000; 0.2196933000;1.04;0.05449170000000001;0.008739299999999998;0.0137524; 0.0402888000; True; 0.0658103000; 0.1776828000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.23;0.1075826;0.0100782;0.0191921; 0.0393495000; True; 0.0716724000; 0.2244853000;1.01;0.0642119;0.017795300000000003;0.0223408; 0.0383648000; True; 0.0852730000; 0.2229892000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.23;0.1039467;0.010461500000000002;0.0185686; 0.0520301000; True; 0.0839467000; 0.2300948000;1.0;0.0341797;0.006690700000000001;0.0088944; 0.0423906000; True; 0.0601966000; 0.1306899000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.2;0.08960470000000001;0.008417399999999998;0.0128572; 0.0448516000; True; 0.0684664000; 0.1986528000;0.98;0.05840290000000001;0.0122974;0.0146594; 0.0492870000; True; 0.0793230000; 0.1987324000
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.19;0.0718341;0.0086251;0.013640500000000002; 0.0455251000; True; 0.0707451000; 0.1832949000;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.19;0.07304590000000001;0.008477399999999998;0.015938599999999997; 0.0385603000; True; 0.0653690000; 0.1810302000;0.91;0.0320609;0.0100561;0.015001200000000001; 0.0418326000; True; 0.0700030000; 0.1407778000
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.21;0.10138409999999999;0.0083223;0.0092494; 0.0410308000; True; 0.0611510000; 0.2047839000;1.08;0.0655505;0.008783899999999999;0.0152516; 0.0396204000; True; 0.0666078000; 0.1935702000
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata;0.15;0.0648417;0.0053749;0.010718299999999998; 0.0226776000; True; 0.0403774000; 0.1444968000;0.96;0.034388100000000005;0.010164499999999998;0.036554300000000005; 0.0484258000; True; 0.1006135000; 0.1815503000
