name;mata-bin-runtime;mata-bin-parsing;mata-bin-mintermization;mata-bin-intersection_emptiness;automata-runtime;automata-result;mata-runtime;mata-mataparsing;mata-mataminterm;mata-construction;mata-interall;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-mataminterm;vata-construction;vata-interall;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;awali-mataparsing;awali-mataminterm;awali-construction;awali-interall;awali-emptiness_check;awali-emptiness_check_result;mona-runtime;mona-mataparsing;mona-mataminterm;pymata-runtime;pymata-construction;pymata-conversion;pymata-intersection;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-intersection;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-intersection;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-38-*.mata;TO; 1.36376; 0.12727;MISSING;TO;MISSING;TO; 2.43348; 0.446502;0.022613602999999996;MISSING;MISSING;MISSING;TO; 1.63789; 0.306066;0.22808686;MISSING;MISSING;MISSING;TO; 1.98741; 0.366282;0.015538224000000003;MISSING;MISSING;MISSING;TO; 2.2985; 0.441081;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-39-*.mata;TO; 1.46611; 0.148297;MISSING;TO;MISSING;TO; 1.88703; 0.324712;0.013667262;MISSING;MISSING;MISSING;TO; 2.56448; 0.332138;0.24954550000000011;MISSING;MISSING;MISSING;TO; 1.783; 0.324412;0.01714714000000001;MISSING;MISSING;MISSING;TO; 2.02448; 0.326963;TO;MISSING;MISSING;MISSING;MISSING;51.88; 0.8768; 0.9584; 49.4824; 0.0003;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-4-*.mata;0.0; 0.0076206; 0.000765978; 0.0002;0.09; EMPTY;0.02; 0.0146455; 0.00756103;0.000427065; 0.00030342; 4.9014e-05; false;0.02; 0.0151052; 0.00755801;0.0023628399999999997; 0.0024948; 0.000784217; false;0.02; 0.0146455; 0.0072375;0.000273679; 0.00102709; 0.00108895; false;TO; 0.0231093; 0.010426;1.1; 0.0155; 0.0000; 0.0004; 0.0003;1.03; 0.0147; 0.0019; 0.0085; 0.0000;1.04; 0.0150; 0.0049; 0.0029; 0.0001
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-40-*.mata;TO; 1.32939; 0.154624;MISSING;TO;MISSING;TO; 2.70692; 0.498638;0.02193963;MISSING;MISSING;MISSING;TO; 2.63987; 0.530832;0.3757276200000001;MISSING;MISSING;MISSING;TO; 2.49926; 0.473709;0.022473455000000003;MISSING;MISSING;MISSING;TO; 2.87762; 0.508799;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-41-*.mata;TO; 1.6214; 0.151329;MISSING;TO;MISSING;TO; 1.84987; 0.352638;0.015285271;MISSING;MISSING;MISSING;TO; 1.98341; 0.372734;0.28633664000000014;MISSING;MISSING;MISSING;TO; 2.26693; 0.365846;0.01819421699999999;MISSING;MISSING;MISSING;TO; 2.50691; 0.497466;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-42-*.mata;TO; 1.41183; 0.110592;MISSING;TO;MISSING;TO; 2.91133; 0.554605;0.027617103;MISSING;MISSING;MISSING;TO; 2.63708; 0.542959;0.4266905999999999;MISSING;MISSING;MISSING;TO; 1.92548; 0.360631;0.019624218;MISSING;MISSING;MISSING;TO; 2.83664; 0.539488;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-43-*.mata;TO; 1.55772; 0.204983;MISSING;TO;MISSING;TO; 2.16859; 0.388789;0.01817302099999999;MISSING;MISSING;MISSING;TO; 2.95649; 0.572104;0.4115390600000001;MISSING;MISSING;MISSING;TO; 2.29128; 0.5023;0.032719097999999995;MISSING;MISSING;MISSING;TO; 3.01163; 0.586932;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-44-*.mata;TO; 1.65043; 0.193522;MISSING;TO;MISSING;TO; 3.17518; 0.466575;0.018651635000000003;MISSING;MISSING;MISSING;TO; 3.5557; 0.617594;0.4919652000000001;MISSING;MISSING;MISSING;TO; 3.41965; 0.556289;0.030749955000000002;MISSING;MISSING;MISSING;TO; 3.50584; 0.584827;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-45-*.mata;TO; 1.98074; 0.182792;MISSING;TO;MISSING;TO; 3.54474; 0.474379;0.026911667999999996;MISSING;MISSING;MISSING;TO; 2.63825; 0.530211;0.4372294100000001;MISSING;MISSING;MISSING;TO; 2.84769; 0.41925;0.022432152;MISSING;MISSING;MISSING;TO; 3.71217; 0.446551;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
/home/experiments/nfa-bench/benchmarks/bool_comb/intersect/expbranching-46-*.mata;TO; 1.75348; 0.128276;MISSING;TO;MISSING;TO; 3.5527; 0.731158;0.038449556999999995;MISSING;MISSING;MISSING;TO; 3.93774; 0.756365;0.5387087;MISSING;MISSING;MISSING;TO; 3.65267; 0.657435;0.034209485;MISSING;MISSING;MISSING;TO; 3.82918; 0.640806;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING;TO;MISSING;MISSING;MISSING;MISSING
