name;automata-runtime;mata-runtime;mata-mataparsing;mata-construction;mata-compl;mata-emptiness_check;mata-emptiness_check_result;vata-runtime;vata-mataparsing;vata-construction;vata-compl;vata-emptiness_check;vata-emptiness_check_result;awali-runtime;mona-runtime;mona-mataparsing;pymata-runtime;pymata-construction;pymata-conversion;pymata-complement;pymata-emptiness;pyfado-runtime;pyfado-construction;pyfado-conversion;pyfado-complement;pyfado-emptiness;pyautomata-lib-runtime;pyautomata-lib-construction;pyautomata-lib-conversion;pyautomata-lib-complement;pyautomata-lib-emptiness
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1578.0.mata;ERR;0.23; 0.156576; 0.0153992; 0.0343489; 5.212e-06; false;0.37; 0.0960513; 0.168313; 0.0809227; 0.00197389; false;ERR;TO; 0.156412;0.78; 0.0576; 0.0000; 0.0085; 0.0000;1.14; 0.0559; 0.3356; 0.0020; 0.0362;0.81; 0.0577; 0.0734; 0.0005; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1597.0.mata;ERR;0.21; 0.149488; 0.0134866; 0.0261951; 5.31e-06; false;0.55; 0.151492; 0.257308; 0.111267; 0.00198348; false;ERR;TO; 0.149875;1.11; 0.1500; 0.0000; 0.0178; 0.0000;2.12; 0.1496; 0.9323; 0.0051; 0.1030;1.29; 0.1493; 0.1817; 0.0011; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1676.0.mata;ERR;0.26; 0.178311; 0.016393; 0.0366818; 4.397e-06; false;0.65; 0.173221; 0.296435; 0.136346; 0.00328787; false;ERR;TO; 0.179668;1.06; 0.1115; 0.0000; 0.0153; 0.0000;1.84; 0.1136; 0.7181; 0.0044; 0.0791;1.19; 0.1107; 0.1512; 0.0011; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1677.0.mata;ERR;0.35; 0.250802; 0.0213606; 0.0438168; 5.658e-06; false;0.92; 0.255233; 0.42664; 0.186747; 0.00341037; false;ERR;TO; 0.259281;1.13; 0.1560; 0.0000; 0.0190; 0.0000;2.23; 0.1535; 1.0230; 0.0053; 0.1128;1.26; 0.1520; 0.1873; 0.0012; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1679.0.mata;ERR;0.22; 0.158038; 0.0138593; 0.0272627; 5.845e-06; false;0.59; 0.159026; 0.272039; 0.121361; 0.00225279; false;ERR;TO; 0.157095;0.77; 0.0872; 0.0000; 0.0095; 0.0000;1.39; 0.0869; 0.5393; 0.0027; 0.0572;0.84; 0.0858; 0.0961; 0.0006; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_17.0.mata;ERR;0.07; 0.0436516; 0.00528147; 0.0116602; 3.798e-06; false;0.16; 0.0434935; 0.0710118; 0.040001; 0.00226347; false;ERR;TO; 0.0435472;0.97; 0.0316; 0.0000; 0.0049; 0.0000;1.09; 0.0338; 0.1141; 0.0014; 0.0084;0.98; 0.0327; 0.0476; 0.0007; 0.0001
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1703.0.mata;ERR;0.33; 0.233621; 0.02093; 0.0392499; 5.514e-06; false;0.65; 0.233935; 0.259066; 0.113465; 0.00215274; false;ERR;TO; 0.143205;0.74; 0.0773; 0.0000; 0.0091; 0.0000;1.2; 0.0770; 0.4262; 0.0022; 0.0438;0.82; 0.0768; 0.0847; 0.0006; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1707.0.mata;ERR;0.28; 0.174622; 0.0216107; 0.0438676; 4.935e-06; false;0.9; 0.249816; 0.414486; 0.182142; 0.00331083; false;ERR;TO; 0.270531;0.95; 0.0883; 0.0000; 0.0107; 0.0000;1.39; 0.0875; 0.5728; 0.0027; 0.0602;0.86; 0.0895; 0.0984; 0.0006; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1720.0.mata;ERR;0.18; 0.132173; 0.0132997; 0.0198902; 5.183e-06; false;0.43; 0.108611; 0.194385; 0.0981219; 0.00210694; false;ERR;TO; 0.175782;0.74; 0.0616; 0.0000; 0.0078; 0.0000;1.08; 0.0615; 0.3087; 0.0020; 0.0309;0.8; 0.0616; 0.0700; 0.0006; 0.0000
/home/experiments/nfa-bench/benchmarks/presburger/complement/UltimateAutomizer/nested9_true-unreach-call.i_1722.0.mata;ERR;0.15; 0.104459; 0.0130274; 0.0193469; 4.857e-06; false;0.42; 0.106908; 0.186196; 0.0927887; 0.00201095; false;ERR;TO; 0.105086;0.78; 0.0646; 0.0000; 0.0081; 0.0000;1.09; 0.0632; 0.3166; 0.0019; 0.0341;0.79; 0.0608; 0.0699; 0.0006; 0.0000
