                                                                  1st Quartile / Median / 3rd Quartile per op/bench                                                                   
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
benchop    mata           mata-old        awali            mona           vata              automata        brics           (j)alib        fado           (py)alib       (py)mata
runti/biu  0.1, 0.7, 1.8  0.1, 0.6, 1.7   0.2, 1.3, 4.8    8.7, 33.8, 60  0.3, 3.0, 16.2    0.2, 0.3, 0.8   1.5, 2.7, 6.3   5.2, 60, 60    6.4, 60, 60    60, 60, 60     1.3, 2.1, 4.6
runti/ef   0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.1, 0.1, 0.2    60, 60, 60     0.1, 0.1, 0.2     0.2, 0.2, 0.2   1.2, 1.3, 1.6   1.7, 2.2, 3.1  2.8, 24.7, 60  1.2, 1.3, 1.5  1.2, 1.3, 1.4
runti/p    0.0, 0.1, 0.1  0.0, 0.1, 0.1   0.0, 0.1, 0.1    60, 60, 60     0.0, 0.1, 0.2     0.2, 0.2, 0.3   1.5, 1.9, 2.2   1.9, 2.6, 2.9  1.3, 1.6, 1.9  1.2, 1.3, 1.4  1.2, 1.2, 1.3
runti/zn   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.1    60, 60, 60     0.0, 0.0, 0.0     0.1, 0.1, 0.2   0.9, 1.0, 1.4   1.1, 1.2, 1.9  1.1, 1.3, 7.2  1.1, 1.2, 1.3  1.1, 1.2, 1.3
trans/ai   -              -               0.0, 0.0, 0.0    -              0.0, 0.1, 0.1     -               -               -              0.1, 2.2, 60   0.0, 0.1, 0.1  0.0, 0.0, 0.0
trans/bcd  -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              60, 60, 60     -              0.0, 0.0, 0.0
trans/bci  -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              60, 60, 60     -              0.0, 0.0, 0.0
trans/bcu  -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              0.0, 0.1, 0.3  -              0.0, 0.0, 0.0
trans/bi   -              -               0.0, 0.0, 0.1    -              0.0, 0.1, 1.0     -               -               -              60, 60, 60     60, 60, 60     60, 60, 60
trans/biu  -              -               0.0, 0.0, 0.1    -              0.0, 0.1, 0.7     -               -               -              0.0, 60, 60    60, 60, 60     0.0, 0.0, 0.0
trans/ef   -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              0.0, 0.0, 60   0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/p    -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              0.0, 0.1, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trans/zn   -              -               0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     -               -               -              0.0, 0.0, 0.1  0.0, 0.0, 0.0  0.0, 0.0, 0.0
trim/ai    -              -               -                -              -                 0.0, 0.0, 0.0   -               -              -              -              -
trim/bcd   0.1, 0.2, 0.5  0.1, 0.2, 0.5   0.7, 2.7, 6.3    -              0.7, 2.9, 5.2     0.0, 0.0, 0.0   -               -              -              -              0.2, 1.0, 2.0
trim/bci   0.1, 0.2, 0.5  0.1, 0.2, 0.5   0.7, 2.5, 5.9    -              0.9, 2.8, 5.1     0.0, 0.0, 0.0   -               -              -              -              0.2, 1.0, 2.1
trim/bcu   0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/bi    9.6, 60, 60    2.5, 15.2, 60   0.5, 20.5, 30.6  -              0.2, 0.4, 20.3    0.3, 0.5, 1.1   -               -              -              -              60, 60, 60
trim/biu   0.0, 0.0, 0.3  0.0, 0.0, 0.2   0.0, 0.4, 2.0    -              0.1, 1.3, 7.3     0.0, 0.0, 0.1   -               -              -              -              0.0, 0.0, 0.0
trim/ef    0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/p     0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
trim/zn    0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   -               -              -              -              0.0, 0.0, 0.0
union/bcu  0.0, 0.0, 0.0  0.0, 0.0, 0.0   0.0, 0.0, 0.0    -              0.0, 0.0, 0.0     0.0, 0.0, 0.0   0.0, 0.0, 0.0   -              0.2, 0.6, 1.1  -              0.0, 0.0, 0.0
union/biu  0.0, 0.0, 0.1  0.0, 0.0, 0.1   0.0, 0.2, 1.1    0.0, 0.0, 60   0.1, 1.0, 6.2     0.0, 0.1, 0.3   0.0, 0.0, 0.0   0.0, 60, 60    4.2, 60, 60    60, 60, 60     0.0, 0.3, 1.8
