name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut53.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut61.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut68.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.1; 0.0949153; 0.0250466;0.001255634;0.00042202600000000004; 0.000284312; false;0.1; 0.0866279; 0.022251;0.001236691;0.000329552; 0.000260678; false
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut59.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut60.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut67.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut73.mata;0.09; 0.0855291; 0.0221841;0.000243292;9.6211e-05; 0.000352923; false;0.09; 0.0891135; 0.0192726;0.00024292999999999998;9.6105e-05; 0.000352382; false
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut20.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut26.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut52.mata;0.09; 0.062395; 0.0358598;0.000449218;0.00013233500000000003; 7.162e-06; true;0.1; 0.0894939; 0.0255978;0.000269623;7.7358e-05; 4.612e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut6.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut35.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut54.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.08; 0.0610213; 0.0268527;0.00025613999999999997;8.705500000000001e-05; 6.127e-06; true;0.12; 0.0820582; 0.0389353;0.000512203;0.00017368399999999999; 7.173e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata;0.08; 0.0664484; 0.0218491;2.272e-05;8.166000000000001e-06; 8.165e-06; true;0.08; 0.0602062; 0.0270079;4.8899e-05;1.8000000000000004e-05; 4.409e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut33.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut74.mata;0.02; 0.0195376; 0.0107407;2.0941999999999997e-05;9.626e-06; 4.503e-06; true;0.05; 0.0440396; 0.0116159;2.0938e-05;1.2408e-05; 6.165e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut0.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut8.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut24.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut34.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut43.mata;0.03; 0.0241989; 0.0160054;4.2698e-05;1.4864999999999999e-05; 1.0527e-05; true;0.06; 0.0505684; 0.0157002;2.0519999999999997e-05;7.860000000000001e-06; 4.815e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut32.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut64.mata;0.1; 0.0798204; 0.0299845;0.000434549;0.000114055; 5.847e-06; true;0.1; 0.0817539; 0.0262751;0.000454492;9.8853e-05; 4.777e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut13.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut36.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut42.mata;0.02; 0.0221408; 0.0128698;0.000354097;0.000102402; 6.106e-06; true;0.04; 0.0301907; 0.0123479;0.00034701700000000003;0.00010124; 6.587e-06; true
/home/experiments/nfa-bench/benchmarks/email_filter/aut1.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut11.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut16.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut62.mata,/home/experiments/nfa-bench/benchmarks/email_filter/aut63.mata;0.07; 0.0489132; 0.0335732;0.000577393;0.000209877; 7.331e-06; true;0.08; 0.074366; 0.0190856;0.000583878;0.000126226; 4.607e-06; true
