name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-uni;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-uni;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.13; 0.11501; 0.0356935; 0.000205588; 0.000200674; 4.6073e-05; false;0.11; 0.102488; 0.0234325; 0.000165661; 0.000176276; 4.5385e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.16; 0.131288; 0.0352977; 0.000197829; 0.000179604; 5.4818e-05; false;0.14; 0.119939; 0.0285195; 0.000189906; 0.000139613; 5.2411e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.17; 0.140282; 0.0435931; 0.000233628; 0.000242615; 6.3184e-05; false;0.16; 0.152921; 0.0282869; 0.000263297; 0.000207647; 4.0057e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-450-rhs.mata;0.2; 0.167471; 0.0490946; 0.000251099; 0.000321551; 7.1638e-05; false;0.17; 0.153483; 0.0316883; 0.000260286; 0.00016454; 2.7973e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-50-rhs.mata;0.03; 0.0224607; 0.0118926; 6.0161e-05; 4.7065e-05; 1.2134e-05; false;0.03; 0.0277543; 0.0101235; 6.3969e-05; 3.1827e-05; 1.0838e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-500-rhs.mata;0.2; 0.164901; 0.0536708; 0.000299315; 0.000310654; 8.1624e-05; false;0.22; 0.204236; 0.0375989; 0.000318138; 0.000515086; 0.000105046; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-550-rhs.mata;0.25; 0.209209; 0.0547307; 0.000313892; 0.000291268; 3.5581e-05; false;0.22; 0.194008; 0.0411855; 0.000313885; 0.000359056; 3.7121e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-600-rhs.mata;0.24; 0.191768; 0.0643277; 0.000339901; 0.000394607; 5.4726e-05; false;0.23; 0.201691; 0.0431052; 0.000722214; 0.000417447; 4.9543e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-650-rhs.mata;0.29; 0.240589; 0.0765467; 0.000361541; 0.000349263; 5.5703e-05; false;0.27; 0.241792; 0.048515; 0.000367368; 0.000324491; 4.3446e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-700-rhs.mata;0.3; 0.244562; 0.0776321; 0.000413312; 0.000633171; 5.5137e-05; false;0.25; 0.233886; 0.0478463; 0.000641459; 0.000536521; 4.7772e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-750-rhs.mata;0.3; 0.249087; 0.0845116; 0.000422626; 0.000369191; 4.832e-05; false;0.29; 0.249174; 0.0507916; 0.000427605; 0.000411513; 4.7037e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-800-rhs.mata;0.32; 0.257338; 0.0849876; 0.000486869; 0.000537805; 5.7915e-05; false;0.31; 0.274422; 0.0542935; 0.000447285; 0.000362182; 5.0523e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-850-rhs.mata;0.36; 0.292151; 0.104037; 0.000493264; 0.000551931; 5.6487e-05; false;0.32; 0.290482; 0.0578665; 0.000519517; 0.000774802; 7.1154e-05; false
