name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-inclusion_check;mata-inclusion_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-inclusion_check;mata-old-inclusion_check_result
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T233-rhs.mata;0.46; 0.335015; 0.130358; 0.00101189; false;0.47; 0.358206; 0.117654; 0.00065393; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T234-rhs.mata;0.41; 0.296779; 0.124711; 0.00118998; false;0.46; 0.364449; 0.105432; 0.000753889; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T235-rhs.mata;0.29; 0.210169; 0.0911233; 0.000566639; false;0.32; 0.246054; 0.0843824; 0.00110195; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T236-rhs.mata;0.29; 0.220321; 0.0828024; 0.000811909; false;0.32; 0.254079; 0.0796812; 0.000607135; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T237-rhs.mata;0.28; 0.211753; 0.0904496; 0.000532292; false;0.31; 0.241788; 0.082207; 0.000688585; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T238-rhs.mata;0.3; 0.225129; 0.0855614; 0.00054533; false;0.34; 0.265097; 0.0790603; 0.00061187; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T239-rhs.mata;0.29; 0.211763; 0.0873587; 0.00111142; false;0.32; 0.243399; 0.0967434; 0.000551802; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T24-rhs.mata;0.3; 0.234692; 0.0828599; 0.000552411; false;0.33; 0.251683; 0.08479; 0.00101673; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T25-rhs.mata;0.32; 0.224287; 0.104667; 0.000561919; false;0.31; 0.241575; 0.0823034; 0.000527203; false
/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-lhs.mata,/home/experiments/nfa-bench/benchmarks/automata_inclusion/false-T26-rhs.mata;0.29; 0.223996; 0.0812759; 0.00053225; false;0.33; 0.260685; 0.087219; 0.000653512; false
