name;mata-runtime;mata-mataparsing;mata-mataminterm;mata-intersection;mata-trim;mata-emptiness_check;mata-emptiness_check_result;mata-old-runtime;mata-old-mataparsing;mata-old-mataminterm;mata-old-intersection;mata-old-trim;mata-old-emptiness_check;mata-old-emptiness_check_result
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-650-rhs.mata;0.82; 0.210922; 0.068144; 0.479168; 0.145528; 0.000123665; false;0.87; 0.231674; 0.0438919; 0.54518; 0.137718; 9.9034e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-700-rhs.mata;0.91; 0.24195; 0.0782923; 0.48675; 0.18968; 8.4337e-05; false;0.88; 0.230095; 0.0503758; 0.522245; 0.186716; 7.3349e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-750-rhs.mata;1.02; 0.248481; 0.0739902; 0.649929; 0.182172; 0.000201782; false;1.0; 0.250794; 0.0550064; 0.637412; 0.190528; 0.000149252; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-800-rhs.mata;1.15; 0.265522; 0.0841485; 0.677271; 0.244724; 0.000285235; false;1.12; 0.260321; 0.0517868; 0.711639; 0.24254; 0.000114543; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-850-rhs.mata;1.27; 0.27046; 0.0835022; 0.791977; 0.267899; 0.000213935; false;1.3; 0.287097; 0.0541299; 0.893934; 0.232967; 0.000138609; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-900-rhs.mata;1.49; 0.294408; 0.0962529; 0.960451; 0.294245; 0.000210697; false;1.31; 0.295686; 0.0572794; 0.858744; 0.27436; 7.9433e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/diff_unsat-950-rhs.mata;1.62; 0.298606; 0.0984914; 1.07649; 0.298392; 0.000164434; false;1.54; 0.32655; 0.0633342; 1.03599; 0.303728; 0.000102047; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-100-rhs.mata;0.05; 0.0419074; 0.0111368; 0.00598116; 0.00382447; 1.3207e-05; false;0.04; 0.0323569; 0.010907; 0.00623718; 0.00350011; 1.4558e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-1000-rhs.mata;1.9; 0.323753; 0.103714; 1.27459; 0.406098; 0.000175151; false;1.81; 0.312883; 0.0649266; 1.2306; 0.397883; 0.000142594; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-150-rhs.mata;0.1; 0.066838; 0.0205466; 0.0152293; 0.0103834; 2.8317e-05; false;0.07; 0.0479616; 0.0121697; 0.0153751; 0.00771229; 1.6957e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-200-rhs.mata;0.14; 0.0838103; 0.0337717; 0.0272062; 0.0161338; 2.5996e-05; false;0.12; 0.0820897; 0.0164106; 0.0273199; 0.0126603; 2.1054e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-250-rhs.mata;0.18; 0.103429; 0.0246226; 0.0499793; 0.0208108; 5.6454e-05; false;0.2; 0.109564; 0.0190703; 0.064894; 0.024779; 6.4025e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-300-rhs.mata;0.23; 0.125502; 0.026485; 0.0701643; 0.0299608; 3.4875e-05; false;0.22; 0.113194; 0.0206504; 0.0736002; 0.0316155; 6.67e-05; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-350-rhs.mata;0.36; 0.134243; 0.0512013; 0.143065; 0.0615536; 0.000148665; false;0.33; 0.131168; 0.0349147; 0.136768; 0.0565421; 0.000107335; false
/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-lhs.mata,/home/experiments/nfa-bench/benchmarks/bool_comb/cox/inter_sat-400-rhs.mata;0.37; 0.164163; 0.0403075; 0.138214; 0.0603464; 5.9022e-05; false;0.35; 0.131764; 0.0300477; 0.164092; 0.0617142; 0.000124633; false
